id,"y__agg_autocorrelation__f_agg_""mean""__maxlag_40","y__agg_autocorrelation__f_agg_""var""__maxlag_40",y__ar_coefficient__coeff_3__k_10,y__ar_coefficient__coeff_9__k_10,"y__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","y__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""","y__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0","y__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0","y__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6","y__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",y__energy_ratio_by_chunks__num_segments_10__segment_focus_5,"y__fft_coefficient__attr_""angle""__coeff_11","y__fft_coefficient__attr_""angle""__coeff_2","y__fft_coefficient__attr_""angle""__coeff_20","y__fft_coefficient__attr_""angle""__coeff_24","y__fft_coefficient__attr_""angle""__coeff_25","y__fft_coefficient__attr_""angle""__coeff_31","y__fft_coefficient__attr_""angle""__coeff_33","y__fft_coefficient__attr_""angle""__coeff_35","y__fft_coefficient__attr_""angle""__coeff_38","y__fft_coefficient__attr_""angle""__coeff_39","y__fft_coefficient__attr_""angle""__coeff_45","y__fft_coefficient__attr_""angle""__coeff_5","y__fft_coefficient__attr_""angle""__coeff_57","y__fft_coefficient__attr_""angle""__coeff_72","y__fft_coefficient__attr_""angle""__coeff_73","y__fft_coefficient__attr_""angle""__coeff_8","y__fft_coefficient__attr_""angle""__coeff_92","y__fft_coefficient__attr_""imag""__coeff_63","y__fft_coefficient__attr_""real""__coeff_2","y__fft_coefficient__attr_""real""__coeff_84",y__lempel_ziv_complexity__bins_10,"y__linear_trend__attr_""pvalue""",y__longest_strike_below_mean,y__number_peaks__n_10,y__partial_autocorrelation__lag_4,y__partial_autocorrelation__lag_8,y__ratio_beyond_r_sigma__r_2,y__variation_coefficient
001b49279bcee7d125a97b05270bfef90bd1e95312b78e2db639f0a531bd3543,0.3236519727192166,0.0734083505168509,0.1797173053957899,-0.189485569301543,3.3582208563393294e-08,-6.303997083413193,-92.21428571428572,-0.6305418719211823,20.88059701492537,-198.3016469249904,0.0745533288995807,116.17944943179228,-176.30478507554403,39.07669541978272,56.46623965176696,-40.043908796708415,158.21572134406344,-29.23576846645791,149.8877440535755,-92.4793712384931,179.69347370964724,16.946091488642114,-78.74082164215784,-160.0969699799261,-28.551056757084787,-120.50960547715184,16.53120278840239,14.667424861382909,35254.307879098684,-298368.8408906209,46324.53141681583,0.1463112213267204,3.1143115332090894e-07,14.0,83.0,0.4220188347142584,0.3324392070113854,0.0223186608803471,0.4322623890429278
0090326fced7728419b589c8c6c2cad5b05d75553813b47938fae26ba0b2b393,0.1336729735548501,0.0124015916418707,-0.0479268273972801,0.0578569099528468,2.110189234264471e-07,-5.954380303448363,-2.2536764705882355,4.157894736842105,14.25140712945591,-1758.518570780146,0.0627114063885014,-167.97858777816407,47.78640474694456,-72.03024747216594,-157.14304340989773,-40.4764425546155,-108.53807368530975,-103.59558029737327,-53.07541413811348,164.77507850079922,89.85000626520886,-137.0403601900703,-151.5365581202973,-142.22579829817315,-40.54624294434187,-164.42297646535098,169.48939889585426,125.96758464057044,-44844.87511976256,102183.06435001404,31664.04250720572,0.1556106633601983,0.0069465838870198,50.0,74.0,0.0498437936439047,-0.0109201044026299,0.0384376937383756,0.8679859527757317
02158978e403150c2befd8b4176c717c4230186b25f7de41a83e27a13f0dd4e4,0.4651931043213836,0.0839407299305617,0.1073552900122747,0.038512628060394,2.934811118621963e-06,-5.429584368840765,-5.294117647058823,-6.037109375,0.7892918825561313,10.400195907066545,0.0791247504926707,148.69200742311006,133.6094658115168,-151.2767549524867,91.0632767995446,174.95516358162408,54.0672857502189,-89.47730363054411,95.84966447650804,-101.77830618088122,162.71747552438944,-112.53319474752014,-104.82956947182072,44.59138545667079,-53.30850659061812,157.63464006566429,-152.7648735502428,165.27124336966295,-21489.087334763703,-128277.8568364061,4816.691216407286,0.2070675759454432,0.6024235782680938,236.0,62.0,0.0309940978248703,-0.0234677977964422,0.0483570985740855,0.1392887703805558
04605a37a22e05096e009845434d33bfd1c42cd67f6d72601d351e470614bf5f,0.3936912530405508,0.0301383928883137,0.1320867783051925,0.0331887391302249,3.19366191711511e-05,-4.919601373389339,59.137339055794,0.900390625,39.70808678500986,-1291.4476812243656,0.0957052445160278,116.42915638115716,92.14039546144376,85.68483888989124,-49.61448559811393,-65.33667582331283,-111.83675041020688,-146.0916239892593,43.25688914463832,-25.42139170360213,167.80330482184917,157.04460200098546,135.31220843934594,103.26041620862703,-97.93921583376591,153.75548086628498,-75.6843168581245,-70.42706304960186,-39132.86744556876,-30878.69302558616,179070.0882018176,0.2324860508369498,3.27165629867731e-18,92.0,65.0,0.0482595931922298,0.0124827495437461,0.0483570985740855,0.0384286073230729
05aed21c749138a712c901a4e7113230306b3b3e2ec055b73f6ba40e78b870ec,0.3193217539407073,0.1201597192467626,0.0906787311044629,0.0043330260474405,1.5643399965208893e-07,-6.012134298782869,0.8208469055374593,1.312803889789303,-2.9914529914529915,165.4303287451131,0.0812163326564091,178.3067088949729,-168.97042988782894,-151.94234520243012,-3.138244843127458,-80.91182827572365,31.38293778707397,-67.37022449083355,131.7575449134528,102.8327441249762,-24.36491948452553,-174.91745111429577,-80.37515308544829,-142.79972182662485,166.3588406230816,25.565341854576424,-171.8278185300054,61.33371340049667,23017.17457236272,-219186.5221851712,-46393.70756978141,0.1146931184128952,0.2636766094795885,76.0,31.0,-0.1919376173191048,0.0101017394077344,0.0080595164290142,0.6455135869267599
063ba6f3c1d425f6f5c3bde3b9ba1eba7c6d81c57fd794860338638212d30dfb,0.2555033217128234,0.0123590041950976,0.1497870405320034,0.0651232646573485,0.0001543821114731,-4.557813755313353,158.8838383838384,355.9791666666667,223.87133182844244,-537.0677261589441,0.1017703716558112,-81.64290303733145,-45.73983996668286,-9.196023276429424,78.8064414271048,116.69936477728416,53.67137475352153,-80.43769812044361,112.4730031141284,-152.35963880605615,117.65115170876244,99.06868809819936,174.63395774739828,73.28506471066311,-165.5897941832711,-31.16887163999077,-174.59875524149064,138.53206970415053,204009.67848940287,2891541.1726824115,-250927.75734095625,0.2554246745195288,0.4559718161410721,229.0,70.0,0.0039273810264372,0.1262606728059503,0.0409175449473031,0.0837281041114707
067db9e34208d72cb693c8c199dfb3fdd7a0d11e29bc6285aeb702ddea18ff7e,0.3730313124620748,0.1012337985816091,0.1566522945255498,0.0131548806029199,1.4866572077633139e-09,-6.874478697309929,-8.464419475655431,-8.216783216783217,-5.737030411449016,-784.5055073163167,0.0237679762167572,-14.24487048532488,159.724221566317,134.49438233014976,-43.70906571571874,165.0579151652396,98.77177964856696,-166.32236458511989,39.2271803033734,117.8373981328183,68.01341272484449,148.7870467540851,9.588384656470884,68.77530303054274,-27.31907541649293,-18.74157850051041,-1.483599230828489,-164.88343827243395,-1049.4897759704302,-349786.50967585394,-11103.864785186022,0.2101673899566026,2.3273767402916507e-05,120.0,54.0,0.0526409173084752,-0.0483567926181429,0.0185988840669559,0.6007860149367599
06b3bf665f5a7f680cb80e5a64f71e0da9a19047a80f494c706d4ea5aa27a134,0.7197647067641375,0.0165297442964769,0.0721195243293395,0.0531122001487539,0.0203957167084695,-3.19296167921568,-7.189814814814815,8.662768031189083,15.210227272727272,-884.6562969631293,0.0384763827562095,12.75832955893076,157.78458618394984,134.60912963939933,-101.83398472126376,41.56996824971729,-37.97421621629753,103.51378494728894,-129.42206370578,82.30767676373512,66.35512140749874,-170.15437165359592,38.47929064477454,-21.98592946465037,5.429636633796941,43.54191936605151,94.3218510199696,-88.24020704038061,-56164.07121146245,-2612129.573823439,-37837.42618206786,0.1915685058896466,1.3788570539671908e-76,362.0,69.0,0.0651999451783696,0.008287480763468,0.0985740855548667,0.4642338984863069
076c1b2effca757264929b87ba491cfa9005a06bb7b81de4b33fd60eb0421788,0.5017810761747498,0.0827572525835834,0.0925706168416198,-0.0097301243744386,8.82414615650283e-08,-6.121687069012018,-0.5100671140939598,0.1184210526315789,-12.39899833055092,109.38070880008507,0.0184932331169129,122.7533151284006,164.03656530873715,-42.91846425184936,-147.64604032050605,-150.48805516689177,144.89202338315604,-155.05334374029803,52.62517607938474,113.84761200953665,-176.31507305652391,-156.34820126029726,-168.16866874970512,-173.59229743230367,-65.35975666132947,-29.69174820981764,174.164723056282,-101.39836866881738,-10687.838284665126,-205259.73798966024,8361.672649524628,0.1946683199008059,0.0206945771077073,73.0,57.0,0.0874738615104544,0.0234807219984405,0.0254184748915065,0.8279634411356308
08f7ff6d9380a3c0442130789c39c3006b6648ba613a3cc9f34de200ae2ee057,0.761902982726494,0.0054459748350104,0.1051094261601711,0.0558246833704667,0.0784131027891382,-2.675287488795113,-11.113636363636363,-3.7756849315068495,4.520426287744227,285.27575860387844,0.0765684020194163,-48.97480971476206,-175.34339156518408,98.94369782960736,104.4657004592682,-175.598361563982,151.0219067869109,149.54005856361894,-17.17098115643514,16.29833882337383,128.06185275674116,-174.29182511885773,-27.19169843416192,1.066172680516778,-88.80643684351823,-34.18466415403682,-55.82845531776778,-136.11170983078378,24798.046476654687,-542578.9283401102,177.91036085797987,0.1580905145691258,1.9704930531373172e-60,494.0,61.0,0.1141983606560785,0.0090772911390801,0.0316181029138251,0.1031419062107532
