id,y__abs_energy,"y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",y__ar_coefficient__coeff_3__k_10,y__count_above_mean,"y__fft_aggregated__aggtype_""centroid""",y__index_mass_quantile__q_0.1,y__number_peaks__n_1,y__ratio_beyond_r_sigma__r_1.5
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---1,2.8772930188087e-05,-0.057051155057307,-0.0003596140079163,7.0,737.5985447611796,0.105,891.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---2,6.136094939286452e-06,-0.0558417929772511,-0.0004253623832792,52.0,704.8636378326962,0.101,890.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---3,2.378748242053897e-05,-0.029129091795896,-0.0004320936348643,7.0,736.3057043326827,0.105,914.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---4,8.068986067799765e-05,-0.0603594027457468,-0.0003416498048487,6.0,743.366160859764,0.1073333333333333,879.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---5,9.194874756029626e-06,-0.0348038552136534,-0.00048744367314,23.0,722.0902004056701,0.1016666666666666,895.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---6,5.272857998688458e-06,-0.0513339004796518,0.0001921544296143,144.0,683.7022815954662,0.1003333333333333,899.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---7,6.136094939286452e-06,-0.0558417929772511,-0.0004253623832792,52.0,704.8636378326962,0.101,890.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---8,8.068986067799765e-05,-0.0603594027457468,-0.0003416498048487,6.0,743.366160859764,0.1073333333333333,879.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---9,6.18354494035265e-06,-0.0557918657556189,-0.0005873986720092,30.0,703.2998894945104,0.1013333333333333,872.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---0,6.949483810268295e-05,0.0139298627553217,0.0020400115852021,908.0,587.0595472857963,0.1003333333333333,978.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---1,7.388147523804153e-05,-0.0029883719364024,0.0205901039557506,714.0,638.5408014596063,0.1026666666666666,911.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---2,6.72848227330936e-05,-0.5594134089742009,0.0978295697414726,1765.0,30.06888519509076,0.0996666666666666,953.0,0.089
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---3,7.217896494895974e-05,0.0278862871977848,-0.0003919157015011,509.0,641.6306418012322,0.101,955.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---4,7.388147523804153e-05,-0.0029883719364024,0.0205901039557506,714.0,638.5408014596063,0.1026666666666666,911.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---5,7.153037518807846e-05,0.0184360113224934,0.0001003488759548,336.0,649.2291694777404,0.1006666666666666,927.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---6,6.949483810268295e-05,0.0139298627553217,0.0020400115852021,908.0,587.0595472857963,0.1003333333333333,978.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---7,7.217896494895974e-05,0.0278862871977848,-0.0003919157015011,509.0,641.6306418012322,0.101,955.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---8,7.153037518807846e-05,0.0184360113224934,0.0001003488759548,336.0,649.2291694777404,0.1006666666666666,927.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---9,6.796719118314953e-05,-0.1284879024592597,0.0810178707797822,1588.0,185.05887547734503,0.1,963.0,0.0023333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---0,9.84832932435628e-05,-0.0259069879223892,-0.0006503951135525,4.0,748.5443250960886,0.1496666666666666,880.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---1,2.041752327328969e-05,-0.0211752197151543,-0.0002960535722326,10.0,746.9585314132357,0.1163333333333333,951.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---2,6.131299040839039e-05,0.0004281555326532,-0.0006921723288606,5.0,748.153744739595,0.1216666666666666,847.0,0.0013333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---3,6.394032094655773e-06,-0.0208970156103063,-0.0001797544770108,29.0,744.4886305151036,0.1106666666666666,876.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---4,8.301092952050488e-06,0.0167429794823542,-0.0007122756364851,24.0,744.280788565995,0.095,892.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---5,2.041752327328969e-05,-0.0211752197151543,-0.0002960535722326,10.0,746.9585314132357,0.1163333333333333,951.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---6,5.20088861959379e-05,0.02005882855762,-0.0003355047078893,6.0,748.0895757150204,0.12,879.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---7,7.201173201261518e-05,0.0353667803783576,-0.0004793588462137,5.0,748.2520345232475,0.1196666666666666,922.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---8,3.271258568298281e-05,-0.0490866281922658,-0.0003365651897517,7.0,747.5991102807818,0.1226666666666666,857.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---9,6.394032094655773e-06,-0.0208970156103063,-0.0001797544770108,29.0,744.4886305151036,0.1106666666666666,876.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---0,3.544017535752882e-05,0.0237549127198914,-0.0006422073897221,7.0,746.913712546905,0.1106666666666666,912.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---1,4.356865331234032e-06,-0.0821292939557345,-0.0005607552889398,21.0,741.5456802067009,0.0953333333333333,917.0,0.001
