id,y__abs_energy,y__absolute_maximum,y__absolute_sum_of_changes,y__ar_coefficient__coeff_8__k_10,"y__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)"
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---13,10.947094138573002,0.074335,0.1288309999999993,0.0172963095377716,3.523073068321727e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---23,10.947094138573002,0.074335,0.1288309999999993,0.0172963095377716,3.523073068321727e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---4,10.947094138573002,0.074335,0.1288309999999993,0.0172963095377716,3.523073068321727e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---14,11.018178949444,0.074356,0.076339,0.0422661391036092,-2.656291144261641e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---15,10.984406740678004,0.074394,0.0776299999999995,-0.0073724804104735,2.8649646128854145e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---17,10.988215916626,0.074276,0.1212289999999997,-0.0037246832083237,4.29857726929742e-06
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---18,10.958769862143,0.074122,0.0230720000000001,0.0022313541110214,3.874193261579344e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---6,10.958769862143,0.074122,0.0230720000000001,0.0022313541110214,3.874193261579344e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---19,11.008524613986,0.074311,0.0752859999999994,0.002107583919669,4.6445574784085406e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---2,11.021478224582,0.074351,0.0758520000000002,0.0404391673796252,-7.67790478096127e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---5,11.021478224582,0.074351,0.0758520000000002,0.0404391673796252,-7.67790478096127e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---20,10.953419745510002,0.074355,0.1188909999999998,-0.0236358166559436,2.7689036716562515e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---22,10.975217285676,0.074278,0.1199350000000003,0.0252127649883975,-1.790993313569924e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---24,10.964459553584,0.074242,0.1051989999999999,0.0134977842695838,5.807520171567634e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---25,10.973239382508,0.07432,0.1295940000000003,0.1358644868935571,-5.4306386575693214e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---26,11.018712845617998,0.074354,0.0920950000000001,0.0840077773907006,-2.613775240694224e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---8,11.018712845617998,0.074354,0.0920950000000001,0.0840077773907006,-2.613775240694224e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---27,10.943654329616002,0.074249,0.0627190000000007,0.0065424150651685,9.55758281217708e-05
