id,y__quantile__q_0.1,y__quantile__q_0.3,y__quantile__q_0.4,y__quantile__q_0.2,y__minimum,"y__fft_coefficient__attr_""abs""__coeff_0","y__fft_coefficient__attr_""real""__coeff_0","y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",y__mean,y__median,y__sum_values,y__quantile__q_0.6,"y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",y__quantile__q_0.7,y__quantile__q_0.8,y__root_mean_square,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","y__linear_trend__attr_""intercept""","y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",y__quantile__q_0.9,"y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","y__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","y__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---0,2.788232871643095e-05,2.7929927021438088e-05,2.795942115323225e-05,2.790682095130681e-05,2.777943683917641e-05,0.0877209638710508,0.0877209638710508,2.7826898144779693e-05,2.924032129035028e-05,2.799283622135272e-05,0.0877209638710508,2.802166408007064e-05,2.7881859840517484e-05,2.790467561366193e-05,2.804929254901962e-05,2.808091602875967e-05,6.177517693950262e-05,2.849583333413245e-05,2.8494866953244795e-05,2.8500525189162933e-05,2.81343627584606e-05,2.849665912668127e-05,5.902202228096385e-05,5.558073440277836e-05,3.346806851231286e-05,3.0701474238883904e-05,4.743182646410062e-05,5.272359747805416e-05,3.697574734779493e-05,6.107821351131361e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---1,2.788232871643095e-05,2.7929927021438088e-05,2.795942115323225e-05,2.790682095130681e-05,2.777943683917641e-05,0.0877209638710508,0.0877209638710508,2.7826898144779693e-05,2.924032129035028e-05,2.799283622135272e-05,0.0877209638710508,2.802166408007064e-05,2.7881859840517484e-05,2.790467561366193e-05,2.804929254901962e-05,2.808091602875967e-05,6.177517693950262e-05,2.849583333413245e-05,2.8494866953244795e-05,2.8500525189162933e-05,2.81343627584606e-05,2.849665912668127e-05,5.902202228096385e-05,5.558073440277836e-05,3.346806851231286e-05,3.0701474238883904e-05,4.743182646410062e-05,5.272359747805416e-05,3.697574734779493e-05,6.107821351131361e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---2,2.8120944012605376e-05,2.8190594910681884e-05,2.8223463263246e-05,2.8160912738717128e-05,2.797056358543418e-05,0.0863534781867701,0.0863534781867701,2.82903666395782e-05,2.8784492728923388e-05,2.826277912628313e-05,0.0863534781867701,2.830082171945701e-05,2.834527086192262e-05,2.836448181317536e-05,2.8336596170869715e-05,2.8383240031459707e-05,3.446007820449417e-05,2.969991981157292e-05,2.9702582695849648e-05,2.969856072843013e-05,2.8476506362496244e-05,2.96916114301328e-05,5.956724379486795e-05,5.602586242758761e-05,4.123862426860083e-05,3.4858201171955204e-05,4.772577513353985e-05,5.31081542673432e-05,3.692697284491586e-05,6.174237743072282e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---3,2.766469319815206e-05,2.7739111720334e-05,2.7769408871044784e-05,2.7706362530359043e-05,2.7530461876028525e-05,0.0945189980713342,0.0945189980713342,2.770665503537569e-05,3.150633269044475e-05,2.779723268467136e-05,0.0945189980713342,2.7820222966087065e-05,2.7755454171897167e-05,2.777736777199905e-05,2.784839821875252e-05,2.789436229690348e-05,0.0001592874024058,2.900673221901688e-05,2.9001122781320744e-05,2.9022348298214896e-05,2.79619754376115e-05,2.9027843257680373e-05,6.013420620629744e-05,5.650435608838447e-05,3.97459572896616e-05,3.3748792612320534e-05,4.7512644571436456e-05,5.378646820897933e-05,3.854326643707359e-05,6.169757508702374e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---4,2.776386170094498e-05,2.7823943016138004e-05,2.7852732307350803e-05,2.779471200445187e-05,2.76731136993899e-05,0.0914393391860188,0.0914393391860188,2.7740691437788364e-05,3.047977972867296e-05,2.7884116960807697e-05,0.0914393391860188,2.7914368263856947e-05,2.7796025210230502e-05,2.781708783899708e-05,2.7944175929662262e-05,2.7981667320081445e-05,0.0001186812609282,2.8335696849023945e-05,2.832821987705473e-05,2.834705157816297e-05,2.803223451425426e-05,2.8455199031303863e-05,6.000066609520084e-05,5.640062170265412e-05,3.2715471679126924e-05,3.025575670823329e-05,4.752534462448396e-05,5.3727152269923655e-05,3.844052753192903e-05,6.157120960805204e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---5,2.79659372206704e-05,2.804261286655783e-05,2.807954334882121e-05,2.800617391180317e-05,2.7782825484764545e-05,0.1009271994100406,0.1009271994100406,2.8116841392453706e-05,3.36423998033469e-05,2.815415386787126e-05,0.1009271994100406,2.8222578327690064e-05,2.817941130620062e-05,2.822656169092173e-05,2.831130137584124e-05,2.8406242691481344e-05,0.0002771664430753,2.7713988196052403e-05,2.7727732169280544e-05,2.770079007199588e-05,2.8619427261516736e-05,2.7888667673074443e-05,5.897554663638408e-05,5.5386250211377735e-05,2.089665915180948e-05,2.485724508829276e-05,4.758965103933405e-05,5.2720642688126496e-05,3.763955878014516e-05,6.047486208508853e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---6,2.788232871643095e-05,2.7929927021438088e-05,2.795942115323225e-05,2.790682095130681e-05,2.777943683917641e-05,0.0877209638710508,0.0877209638710508,2.7826898144779693e-05,2.924032129035028e-05,2.799283622135272e-05,0.0877209638710508,2.802166408007064e-05,2.7881859840517484e-05,2.790467561366193e-05,2.804929254901962e-05,2.808091602875967e-05,6.177517693950262e-05,2.849583333413245e-05,2.8494866953244795e-05,2.8500525189162933e-05,2.81343627584606e-05,2.849665912668127e-05,5.902202228096385e-05,5.558073440277836e-05,3.346806851231286e-05,3.0701474238883904e-05,4.743182646410062e-05,5.272359747805416e-05,3.697574734779493e-05,6.107821351131361e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---7,2.776386170094498e-05,2.7823943016138004e-05,2.7852732307350803e-05,2.779471200445187e-05,2.76731136993899e-05,0.0914393391860188,0.0914393391860188,2.7740691437788364e-05,3.047977972867296e-05,2.7884116960807697e-05,0.0914393391860188,2.7914368263856947e-05,2.7796025210230502e-05,2.781708783899708e-05,2.7944175929662262e-05,2.7981667320081445e-05,0.0001186812609282,2.8335696849023945e-05,2.832821987705473e-05,2.834705157816297e-05,2.803223451425426e-05,2.8455199031303863e-05,6.000066609520084e-05,5.640062170265412e-05,3.2715471679126924e-05,3.025575670823329e-05,4.752534462448396e-05,5.3727152269923655e-05,3.844052753192903e-05,6.157120960805204e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---8,2.79659372206704e-05,2.804261286655783e-05,2.807954334882121e-05,2.800617391180317e-05,2.7782825484764545e-05,0.1009271994100406,0.1009271994100406,2.8116841392453706e-05,3.36423998033469e-05,2.815415386787126e-05,0.1009271994100406,2.8222578327690064e-05,2.817941130620062e-05,2.822656169092173e-05,2.831130137584124e-05,2.8406242691481344e-05,0.0002771664430753,2.7713988196052403e-05,2.7727732169280544e-05,2.770079007199588e-05,2.8619427261516736e-05,2.7888667673074443e-05,5.897554663638408e-05,5.5386250211377735e-05,2.089665915180948e-05,2.485724508829276e-05,4.758965103933405e-05,5.2720642688126496e-05,3.763955878014516e-05,6.047486208508853e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---9,2.821692572570936e-05,2.827976869044602e-05,2.829834281508764e-05,2.8257921120477355e-05,2.801757318435755e-05,0.0881926947424089,0.0881926947424089,2.8164879619584463e-05,2.939756491413632e-05,2.831587534764756e-05,0.0881926947424089,2.833504796380091e-05,2.822615858058634e-05,2.825325145688244e-05,2.835593249942781e-05,2.838445960170769e-05,6.500403992612795e-05,2.7906737348537533e-05,2.79047710444726e-05,2.791449751470802e-05,2.843131744232805e-05,2.7892337688729064e-05,5.907431215459125e-05,5.563931679108168e-05,2.4352216919133216e-05,2.6319782948516773e-05,4.778409409110759e-05,5.277969302432018e-05,3.687114261220908e-05,6.119872893640771e-05
