id,"y__agg_autocorrelation__f_agg_""var""__maxlag_40","y__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""","y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""","y__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""","y__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""","y__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",y__permutation_entropy__dimension_6__tau_1,y__number_peaks__n_10,"y__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""","y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",y__permutation_entropy__dimension_5__tau_1,"y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""","y__agg_autocorrelation__f_agg_""mean""__maxlag_40","y__linear_trend__attr_""rvalue""","y__agg_autocorrelation__f_agg_""median""__maxlag_40","y__fft_coefficient__attr_""real""__coeff_22",y__number_peaks__n_50,y__energy_ratio_by_chunks__num_segments_10__segment_focus_5,y__permutation_entropy__dimension_7__tau_1,"y__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""angle""__coeff_36","y__fft_coefficient__attr_""angle""__coeff_62",y__partial_autocorrelation__lag_9,y__partial_autocorrelation__lag_6,"y__fft_coefficient__attr_""abs""__coeff_11",y__count_below_mean,y__count_above_mean,y__permutation_entropy__dimension_4__tau_1,"y__fft_coefficient__attr_""real""__coeff_44","y__fft_coefficient__attr_""angle""__coeff_11"
001b49279bcee7d125a97b05270bfef90bd1e95312b78e2db639f0a531bd3543,0.0734083505168509,-6.303997083413193,-0.1454390992625261,-0.143543465136126,-0.2245360947227325,-0.1942419823180236,5.921272620273136,83.0,-0.0871206943119198,-0.0838262165591058,4.587137105893381,-0.203146650795044,0.3236519727192166,-0.1269758631980439,0.3216105720894193,-88713.94914559383,14.0,0.0745533288995807,6.793410261729965,-59.2883824768641,78.82464018589205,130.85134126806696,-0.2229059041729559,-0.1050761563419059,251510.35202249905,1045.0,568.0,3.1642960858387634,-1563.605611967936,116.17944943179228
0090326fced7728419b589c8c6c2cad5b05d75553813b47938fae26ba0b2b393,0.0124015916418707,-5.954380303448363,0.1027090021369693,0.0884718270608895,0.1289529442419685,0.1033158598554541,5.360981401256867,74.0,0.050997830298044,0.0259975992752078,4.143543849550032,0.1100184337759294,0.1336729735548501,0.0671884856724048,0.1081802531806193,-68440.42034148675,12.0,0.0627114063885014,6.214907408893892,-1686.3019580735852,174.73861945186192,77.40832847177532,0.0880397965391344,0.0476752151064556,242778.9272915793,888.0,725.0,2.8654345719038545,17265.028712823074,-167.97858777816407
02158978e403150c2befd8b4176c717c4230186b25f7de41a83e27a13f0dd4e4,0.0839407299305617,-5.429584368840765,-0.015291375623014,-0.0138765905138213,-0.0325262499180489,-0.0198823966636787,6.27996410764451,62.0,-0.0088402404482463,-0.0206540133842793,4.720727973311183,-0.0169766581771958,0.4651931043213836,-0.012979891876177,0.4562328805725054,95988.41816512703,12.0,0.0791247504926707,7.139183518595047,-13.952206542450512,132.29189681814938,1.5349157778304177,0.0054947557763379,-0.0078591944226899,654046.1844870807,1098.0,515.0,3.154769808460168,20266.72839653,148.69200742311006
04605a37a22e05096e009845434d33bfd1c42cd67f6d72601d351e470614bf5f,0.0301383928883137,-4.919601373389339,-0.2617025397074342,-0.2426584877530054,-0.3214961615729904,-0.2292063022023562,6.14359492115094,65.0,-0.1773152861266966,-0.1370603311940298,4.658413617037612,-0.2370197595658989,0.3936912530405508,-0.2143063754258498,0.3383068762340062,-814160.8081693255,12.0,0.0957052445160278,7.027957054571422,-1130.0082861871829,-99.4462757462708,45.003933327635856,0.0533438047794359,0.1151841843940007,2328476.3505973094,830.0,783.0,3.1325848922756183,60003.54600194613,116.42915638115716
05aed21c749138a712c901a4e7113230306b3b3e2ec055b73f6ba40e78b870ec,0.1201597192467626,-6.012134298782869,0.0203176924783579,0.0260783491217633,-0.0313673113650503,0.0236477628774699,5.268996524837555,31.0,0.0262359686063225,0.0223218271734622,4.118877508660797,0.0254077828066088,0.3193217539407073,0.0278469417468454,0.2549070320733052,-500364.41187906975,15.0,0.0812163326564091,6.005268646958498,-3773.6747793485374,45.17438772943293,-175.54328653162227,0.0445817905297496,0.0840079564278929,1192564.990680083,686.0,927.0,2.8754145043046115,99840.45688182376,178.3067088949729
063ba6f3c1d425f6f5c3bde3b9ba1eba7c6d81c57fd794860338638212d30dfb,0.0123590041950976,-4.557813755313353,-0.0181009917871637,-0.0214565254287563,0.0626936851892526,-0.1047487650111932,6.076413232709683,70.0,0.1350227988554301,0.2138375574845524,4.610082112669028,-0.1239563444593299,0.2555033217128234,-0.0185749469622058,0.2152322702211053,1673774.7996299258,14.0,0.1017703716558112,6.970966984063766,-7600.940897472079,55.35687395039104,55.92277066805462,0.0568756239847501,0.2184932844282534,1017503.2474683048,879.0,734.0,3.1011690699905365,548745.1230486009,-81.64290303733145
067db9e34208d72cb693c8c199dfb3fdd7a0d11e29bc6285aeb702ddea18ff7e,0.1012337985816091,-6.874478697309929,0.1202579813501706,0.1128333651919205,0.1950480410851073,0.0132332829265209,5.93413256515246,54.0,0.1628475585749726,0.1673882180063529,4.531816384278308,-0.0100237575990463,0.3730313124620748,0.1051353287841833,0.3489821476844858,-470180.8542503304,16.0,0.0237679762167572,6.7789824700831005,-2995.3124901274864,85.3281786681078,32.24779911650623,-0.0335341572158026,0.0324025768278853,1080065.633546141,785.0,828.0,3.085324319076173,28213.070708573483,-14.24487048532488
06b3bf665f5a7f680cb80e5a64f71e0da9a19047a80f494c706d4ea5aa27a134,0.0165297442964769,-3.19296167921568,0.4573678891886619,0.4497871237952364,0.5254419310913144,0.4289237172229447,6.235441462214513,69.0,0.4486577914623816,0.4405408878556145,4.697063099754524,0.4246273606246673,0.7197647067641375,0.4380094415723209,0.7172722751007792,-323251.8997558069,10.0,0.0384763827562095,7.116889006511611,-3307.7475371115047,5.4659460387408085,-116.43724038058592,0.0178549653892992,0.0477710053596735,954122.1833136452,1204.0,409.0,3.1429466052999624,-163658.94962980994,12.75832955893076
076c1b2effca757264929b87ba491cfa9005a06bb7b81de4b33fd60eb0421788,0.0827572525835834,-6.121687069012018,0.0540871979394176,0.0574455377847539,0.051796379290716,0.0506620251972597,5.7466155505786265,57.0,0.0550178117424908,0.0504765435280824,4.399598788310668,0.053715178690709,0.5017810761747498,0.0576010480637435,0.5204851013008674,147468.8851416306,13.0,0.0184932331169129,6.655649759982055,777.7142838140057,64.70109486863747,-63.03953378128863,-0.0182662740204351,-0.0203534712850101,748220.5408826228,928.0,685.0,2.994053648957644,369.5727695956141,122.7533151284006
08f7ff6d9380a3c0442130789c39c3006b6648ba613a3cc9f34de200ae2ee057,0.0054459748350104,-2.675287488795113,-0.4083456275483467,-0.4062756028928913,-0.4337004741448018,-0.385183740301333,6.239855619550935,61.0,-0.3778090743612189,-0.3787052964337138,4.715194717782672,-0.3564892487888315,0.761902982726494,-0.3921375331244871,0.7499498467493981,-25013.025970355862,12.0,0.0765684020194163,7.119368552258101,-866.306272368824,75.4154444201464,-44.248710853786285,0.0691872076714352,0.1051171431166533,164196.7704146882,659.0,954.0,3.16122101205078,-18465.68909418844,-48.97480971476206
