id,"y__fft_coefficient__attr_""real""__coeff_48",y__value_count__value_1,"y__fft_coefficient__attr_""imag""__coeff_67",y__count_below__t_0,"y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","y__fft_coefficient__attr_""real""__coeff_23","y__fft_coefficient__attr_""imag""__coeff_37","y__fft_coefficient__attr_""angle""__coeff_3","y__fft_coefficient__attr_""real""__coeff_28",y__number_crossing_m__m_0,y__symmetry_looking__r_0.7000000000000001,"y__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""","y__fft_coefficient__attr_""imag""__coeff_88","y__fft_coefficient__attr_""angle""__coeff_16","y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","y__fft_coefficient__attr_""abs""__coeff_86","y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","y__fft_coefficient__attr_""angle""__coeff_92","y__fft_coefficient__attr_""real""__coeff_25","y__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""imag""__coeff_65","y__fft_coefficient__attr_""abs""__coeff_87","y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","y__fft_coefficient__attr_""real""__coeff_24","y__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""","y__fft_coefficient__attr_""angle""__coeff_25",y__has_duplicate_min,y__energy_ratio_by_chunks__num_segments_10__segment_focus_5,y__symmetry_looking__r_0.1
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---0,0.0060006691129117,0.0,0.0018155553189853,0.0,6.65117558779391e-05,-0.0142439072499866,0.0120160655492821,-16.14896810664155,0.0020946434758212,0.0,1.0,9.286579066401711e-11,-0.0011111489550134,-4.046475100495869,2.460884081433053e-09,0.0150343467427465,5.1990976194030115e-09,6.672727272726953e-05,143.8398546907226,0.0032602721382716,0.3060929700529217,0.0059594346726768,0.0058529190120129,-0.1138665122022835,0.0023648307930725,3.0,-53.37910571626821,0.0,0.1000008899124598,1.0
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---15,0.0060006691129117,0.0,0.0018155553189853,0.0,6.65117558779391e-05,-0.0142439072499866,0.0120160655492821,-16.14896810664155,0.0020946434758212,0.0,1.0,9.286579066401711e-11,-0.0011111489550134,-4.046475100495869,2.460884081433053e-09,0.0150343467427465,5.1990976194030115e-09,6.672727272726953e-05,143.8398546907226,0.0032602721382716,0.3060929700529217,0.0059594346726768,0.0058529190120129,-0.1138665122022835,0.0023648307930725,3.0,-53.37910571626821,0.0,0.1000008899124598,1.0
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---24,0.0060006691129117,0.0,0.0018155553189853,0.0,6.65117558779391e-05,-0.0142439072499866,0.0120160655492821,-16.14896810664155,0.0020946434758212,0.0,1.0,9.286579066401711e-11,-0.0011111489550134,-4.046475100495869,2.460884081433053e-09,0.0150343467427465,5.1990976194030115e-09,6.672727272726953e-05,143.8398546907226,0.0032602721382716,0.3060929700529217,0.0059594346726768,0.0058529190120129,-0.1138665122022835,0.0023648307930725,3.0,-53.37910571626821,0.0,0.1000008899124598,1.0
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---26,0.0060006691129117,0.0,0.0018155553189853,0.0,6.65117558779391e-05,-0.0142439072499866,0.0120160655492821,-16.14896810664155,0.0020946434758212,0.0,1.0,9.286579066401711e-11,-0.0011111489550134,-4.046475100495869,2.460884081433053e-09,0.0150343467427465,5.1990976194030115e-09,6.672727272726953e-05,143.8398546907226,0.0032602721382716,0.3060929700529217,0.0059594346726768,0.0058529190120129,-0.1138665122022835,0.0023648307930725,3.0,-53.37910571626821,0.0,0.1000008899124598,1.0
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---1,0.002639180789843,0.0,0.0047405048213783,0.0,0.0001197558779389,0.0069625173970777,-0.0029326109365543,-132.98307389830563,0.001062234611079,0.0,1.0,6.857027774904322e-11,0.0062812327975717,-53.22475131338875,8.955435423854927e-09,0.0128043250595234,1.426600967910446e-08,8.158373205741459e-05,-72.76606786749574,0.0039625930120237,0.3062275608359637,-0.0055528404804432,0.013079423495608,-0.6354704748185991,-0.0034410843981859,18.0,-32.21464146297355,0.0,0.1000356322066169,1.0
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---10,0.0002152513839508,0.0,0.0036585667498853,0.0,9.750375187593764e-05,0.005868061174589,0.0058160264663696,40.8556239604661,-0.0009328473233549,0.0,1.0,9.023748507060311e-11,0.0082872509274961,114.1774371214915,6.525421114013285e-09,0.0097137151122885,1.4755303683582521e-08,8.729032258064493e-05,19.193200464414463,0.0081266297892086,0.3060056417400779,0.0069543688580852,0.004964497566503,0.0157844395946962,0.0062949225100931,25.0,-36.15239476624831,0.0,0.1000237399006269,1.0
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---11,0.0460288304266749,0.0,-0.1346222577094705,0.0,0.0002998679339669,0.4709948974912905,-0.1271608619498215,-48.30554165516398,-0.5679057609966167,0.0,1.0,5.011464715600425e-07,0.0212730557225188,-151.26717152080732,5.5500804738605344e-08,0.0615667598134414,-2.789195245373136e-07,0.000345701357466,-29.285126218834574,-0.2986031105607185,0.3066006583649522,0.1871981643495252,0.0248764176296198,0.1904546528058031,-0.4711642220771878,1.0,-116.58554589141306,0.0,0.0992073157146852,1.0
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---14,0.0460288304266749,0.0,-0.1346222577094705,0.0,0.0002998679339669,0.4709948974912905,-0.1271608619498215,-48.30554165516398,-0.5679057609966167,0.0,1.0,5.011464715600425e-07,0.0212730557225188,-151.26717152080732,5.5500804738605344e-08,0.0615667598134414,-2.789195245373136e-07,0.000345701357466,-29.285126218834574,-0.2986031105607185,0.3066006583649522,0.1871981643495252,0.0248764176296198,0.1904546528058031,-0.4711642220771878,1.0,-116.58554589141306,0.0,0.0992073157146852,1.0
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---12,0.0096652611462359,0.0,-0.016814511349574,0.0,0.0001274327163581,-0.008610759518851,-0.0185746205230842,114.40954830014856,0.0022973031909208,0.0,1.0,8.40283357617643e-11,-0.0067991333010605,132.63408191965564,1.1579510086264813e-08,0.0095692654857152,1.5505446731343247e-08,7.379146919430872e-05,-73.85654352078315,-0.0044112413103322,0.3060492849256723,0.0085816468467762,0.001972123988632,0.4997551137891771,0.001717869510944,13.0,-128.0748623558116,0.0,0.0999896605226333,1.0
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---29,0.0096652611462359,0.0,-0.016814511349574,0.0,0.0001274327163581,-0.008610759518851,-0.0185746205230842,114.40954830014856,0.0022973031909208,0.0,1.0,8.40283357617643e-11,-0.0067991333010605,132.63408191965564,1.1579510086264813e-08,0.0095692654857152,1.5505446731343247e-08,7.379146919430872e-05,-73.85654352078315,-0.0044112413103322,0.3060492849256723,0.0085816468467762,0.001972123988632,0.4997551137891771,0.001717869510944,13.0,-128.0748623558116,0.0,0.0999896605226333,1.0
