id,"y__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",y__longest_strike_below_mean,"y__agg_autocorrelation__f_agg_""mean""__maxlag_40","y__agg_autocorrelation__f_agg_""var""__maxlag_40",y__number_peaks__n_10,y__longest_strike_above_mean,"y__agg_autocorrelation__f_agg_""median""__maxlag_40","y__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","y__linear_trend__attr_""pvalue""",y__ar_coefficient__coeff_9__k_10,y__permutation_entropy__dimension_7__tau_1,y__partial_autocorrelation__lag_9,y__number_peaks__n_3,y__permutation_entropy__dimension_6__tau_1,y__energy_ratio_by_chunks__num_segments_10__segment_focus_5,y__number_peaks__n_50,y__last_location_of_minimum,y__number_peaks__n_5,y__permutation_entropy__dimension_5__tau_1,y__symmetry_looking__r_0.15000000000000002,y__partial_autocorrelation__lag_4,y__partial_autocorrelation__lag_7,y__symmetry_looking__r_0.1,y__permutation_entropy__dimension_4__tau_1,y__partial_autocorrelation__lag_8,y__partial_autocorrelation__lag_5,y__index_mass_quantile__q_0.1,y__index_mass_quantile__q_0.2,y__variation_coefficient,"y__fft_coefficient__attr_""imag""__coeff_13"
001b49279bcee7d125a97b05270bfef90bd1e95312b78e2db639f0a531bd3543,-6.303997083413193,14.0,0.3236519727192166,0.0734083505168509,83.0,34.0,0.3216105720894193,3.3582208563393294e-08,3.1143115332090894e-07,-0.189485569301543,6.793410261729965,-0.2229059041729559,332.0,5.921272620273136,0.0745533288995807,14.0,0.1872287662740235,143.0,4.587137105893381,1.0,0.4220188347142584,-0.1493943153610928,1.0,3.1642960858387634,0.3324392070113854,-0.101020584523145,0.1053936763794172,0.2101673899566026,0.4322623890429278,-215527.7118305673
0090326fced7728419b589c8c6c2cad5b05d75553813b47938fae26ba0b2b393,-5.954380303448363,50.0,0.1336729735548501,0.0124015916418707,74.0,73.0,0.1081802531806193,2.110189234264471e-07,0.0069465838870198,0.0578569099528468,6.214907408893892,0.0880397965391344,151.0,5.360981401256867,0.0627114063885014,12.0,0.8233106013639182,110.0,4.143543849550032,1.0,0.0498437936439047,0.0506498224620468,1.0,2.8654345719038545,-0.0109201044026299,-0.0145259076015395,0.08307501549907,0.2045877247365158,0.8679859527757317,19932.27920812167
02158978e403150c2befd8b4176c717c4230186b25f7de41a83e27a13f0dd4e4,-5.429584368840765,236.0,0.4651931043213836,0.0839407299305617,62.0,60.0,0.4562328805725054,2.934811118621963e-06,0.6024235782680938,0.038512628060394,7.139183518595047,0.0054947557763379,212.0,6.27996410764451,0.0791247504926707,12.0,0.1742095474271543,121.0,4.720727973311183,1.0,0.0309940978248703,-0.0856678232494347,0.0,3.154769808460168,-0.0234677977964422,-0.0489507649622329,0.0979541227526348,0.1977681339119653,0.1392887703805558,-147114.9876790728
04605a37a22e05096e009845434d33bfd1c42cd67f6d72601d351e470614bf5f,-4.919601373389339,92.0,0.3936912530405508,0.0301383928883137,65.0,44.0,0.3383068762340062,3.19366191711511e-05,3.27165629867731e-18,0.0331887391302249,7.027957054571422,0.0533438047794359,199.0,6.14359492115094,0.0957052445160278,12.0,0.8270303781773094,136.0,4.658413617037612,1.0,0.0482595931922298,-0.0322324733851513,1.0,3.1325848922756183,0.0124827495437461,0.1249118661638431,0.0998140111593304,0.1977681339119653,0.0384286073230729,-326966.476086186
05aed21c749138a712c901a4e7113230306b3b3e2ec055b73f6ba40e78b870ec,-6.012134298782869,76.0,0.3193217539407073,0.1201597192467626,31.0,95.0,0.2549070320733052,1.5643399965208893e-07,0.2636766094795885,0.0043330260474405,6.005268646958498,0.0445817905297496,127.0,5.268996524837555,0.0812163326564091,15.0,0.4079355238685679,60.0,4.118877508660797,1.0,-0.1919376173191048,-0.0086513526180253,1.0,2.8754145043046115,0.0101017394077344,-0.0352045825944382,0.1165530068195908,0.2064476131432114,0.6455135869267599,58823.00404758106
063ba6f3c1d425f6f5c3bde3b9ba1eba7c6d81c57fd794860338638212d30dfb,-4.557813755313353,229.0,0.2555033217128234,0.0123590041950976,70.0,28.0,0.2152322702211053,0.0001543821114731,0.4559718161410721,0.0651232646573485,6.970966984063766,0.0568756239847501,196.0,6.076413232709683,0.1017703716558112,14.0,0.3168009919404836,130.0,4.610082112669028,1.0,0.0039273810264372,-0.0571848342465853,1.0,3.1011690699905365,0.1262606728059503,0.0482368538655583,0.1010539367637941,0.1996280223186609,0.0837281041114707,1140230.9584231973
067db9e34208d72cb693c8c199dfb3fdd7a0d11e29bc6285aeb702ddea18ff7e,-6.874478697309929,120.0,0.3730313124620748,0.1012337985816091,54.0,98.0,0.3489821476844858,1.4866572077633139e-09,2.3273767402916507e-05,0.0131548806029199,6.7789824700831005,-0.0335341572158026,181.0,5.93413256515246,0.0237679762167572,16.0,0.7811531308121513,114.0,4.531816384278308,1.0,0.0526409173084752,-0.0197499266876413,1.0,3.085324319076173,-0.0483567926181429,0.0897843683310956,0.1078735275883447,0.2027278363298202,0.6007860149367599,159759.80659190242
06b3bf665f5a7f680cb80e5a64f71e0da9a19047a80f494c706d4ea5aa27a134,-3.19296167921568,362.0,0.7197647067641375,0.0165297442964769,69.0,90.0,0.7172722751007792,0.0203957167084695,1.3788570539671908e-76,0.0531122001487539,7.116889006511611,0.0178549653892992,204.0,6.235441462214513,0.0384763827562095,10.0,0.9107253564786112,135.0,4.697063099754524,1.0,0.0651999451783696,0.0610566913909862,1.0,3.1429466052999624,0.008287480763468,0.0583699364231476,0.1233725976441413,0.2461252324860508,0.4642338984863069,1577204.4600663325
076c1b2effca757264929b87ba491cfa9005a06bb7b81de4b33fd60eb0421788,-6.121687069012018,73.0,0.5017810761747498,0.0827572525835834,57.0,77.0,0.5204851013008674,8.82414615650283e-08,0.0206945771077073,-0.0097301243744386,6.655649759982055,-0.0182662740204351,174.0,5.7466155505786265,0.0184932331169129,13.0,0.0278983261004339,110.0,4.399598788310668,1.0,0.0874738615104544,-0.0247465848648531,1.0,2.994053648957644,0.0234807219984405,0.1051819191943336,0.0898946063236205,0.1742095474271543,0.8279634411356308,-154236.53147440203
08f7ff6d9380a3c0442130789c39c3006b6648ba613a3cc9f34de200ae2ee057,-2.675287488795113,494.0,0.761902982726494,0.0054459748350104,61.0,336.0,0.7499498467493981,0.0784131027891382,1.9704930531373172e-60,0.0558246833704667,7.119368552258101,0.0691872076714352,198.0,6.239855619550935,0.0765684020194163,12.0,0.9566026038437694,139.0,4.715194717782672,1.0,0.1141983606560785,-0.0615244760994238,1.0,3.16122101205078,0.0090772911390801,0.0422960669046328,0.0942343459392436,0.1853688778673279,0.1031419062107532,15703.298573778127
092a09c2b274437cacc47579598007d841832357369735c3c770b2ba6dca3454,-5.805612409752084,94.0,0.4566366490626747,0.0908785859609514,57.0,66.0,0.4564737950504791,4.524032126517336e-07,0.6544416079559263,-0.0170832102832202,6.722161099750692,0.0045301736313463,174.0,5.839524576503934,0.057478245974093,10.0,0.6044637321760694,101.0,4.456404678318091,1.0,0.1070186728619873,-0.0879840297994303,1.0,3.03360588932646,0.0119201455080907,-0.0002288286536481,0.0954742715437073,0.1884686918784873,0.3209141515973196,96606.81043353792
096d04270888c86c3698b47942b1ccd5fcede77987562931d4177f7e95160639,-5.482532116112448,217.0,0.6254668330936557,0.049200831206418,46.0,127.0,0.6556237550567334,2.26743886903796e-06,0.0226962824617318,-0.0204663957423989,7.13099668262911,-0.0256631355388882,199.0,6.226343458830254,0.0855668854995915,8.0,0.7699938003719777,126.0,4.693118043314657,1.0,0.075214162588481,-0.0087546253892312,1.0,3.140142559661109,-0.0466500474863292,-0.0443541872364737,0.0936143831370117,0.1983880967141971,0.2471124899030569,-17762.693857455688
0ae3bb3e0b0353563576befc8fd4549912995de9f069183fe0b20bce13d7cd57,-4.9611956205189935,111.0,0.3552428994070175,0.0302599251885001,76.0,66.0,0.3525804233514169,2.647121314884273e-05,0.2506482486134084,0.0131389701633731,7.019190160570492,0.0552225805112358,207.0,6.11828811037339,0.0593656179468748,15.0,0.3168009919404836,148.0,4.619742639401023,1.0,0.0059658898038017,0.0077077344031482,1.0,3.1094706920702104,0.0137263813843237,0.0947181818875143,0.0657160570365778,0.1593304401735895,0.6736909735351113,1086227.5658243129
0b104201b2555d9eea01adaf120f401db50cdc0df2bc3457fcbce2a7d9948e28,-6.622405349439916,80.0,0.3681316374381837,0.1319174617492044,40.0,87.0,0.3371833877277088,5.991226813542143e-09,0.4944616210862739,-0.0792071994437824,6.221952283856625,-0.0845124238935458,114.0,5.45923520398564,0.0646147412986751,15.0,0.9931804091754496,66.0,4.263255493960336,1.0,-0.1035095843813964,-0.0497246071158168,1.0,2.9607183636411696,-0.0760747967137866,-0.0767667505092806,0.1115933044017359,0.2070675759454432,0.7242966875221911,22254.43598912035
0b457d358285ce6a2337cf4c69d227e8c1e0d6925782c0dc1d876fdef7bf1e06,-1.9204865148933388,17.0,0.3519689231997243,0.0073360909521197,86.0,38.0,0.3277609630020437,0.3224858247410904,3.8182738020327463e-34,0.0238026276395069,7.154288498279538,0.025207485858709,240.0,6.31004840517529,0.0753054181106921,14.0,0.5579665220086795,155.0,4.735804764399389,1.0,0.15769769563688,0.0664731517212816,1.0,3.164873330816633,0.037162746813125,0.17300694877335,0.0979541227526348,0.1797892126472411,0.2143472808415022,-17102.01150542338
