id,y__large_standard_deviation__r_0.30000000000000004,"y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","y__fft_coefficient__attr_""imag""__coeff_98","y__fft_coefficient__attr_""angle""__coeff_53","y__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""angle""__coeff_72","y__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",y__has_duplicate_max,"y__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""angle""__coeff_93",y__symmetry_looking__r_0.9500000000000001,y__large_standard_deviation__r_0.4,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",y__large_standard_deviation__r_0.05,"y__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",y__number_crossing_m__m_1,"y__fft_coefficient__attr_""real""__coeff_69","y__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""imag""__coeff_5","y__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","y__fft_coefficient__attr_""abs""__coeff_28","y__fft_coefficient__attr_""abs""__coeff_95","y__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""real""__coeff_4",y__partial_autocorrelation__lag_4,"y__fft_coefficient__attr_""abs""__coeff_18","y__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)","y__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0","y__fft_coefficient__attr_""angle""__coeff_16"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS3#NEED_TO_ENLARGE=0&SIZE=65536---4,0.0,3.4067200639696296e-08,0.0163259344084406,-131.9320155691631,-3.248866696465882e-05,-55.10634930445909,0.0011297139592116,0.0,-0.0015601549601745,157.6970774852279,1.0,0.0,0.0007737584910492,1.0,-0.0016954660768134,0.0,-0.0054516060934628,0.0046746044588704,-0.0088226770275804,3.875891782840775e-11,2.836590473462367e-11,0.0325924485734151,0.0097500243334616,0.0020427976981785,0.0173902342619679,0.0239195360410473,0.0247871524568658,0.001863813033274,5.183147495714012e-07,-45.990203982488296
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS3#NEED_TO_ENLARGE=0&SIZE=65536---5,0.0,3.4067200639696296e-08,0.0163259344084406,-131.9320155691631,-3.248866696465882e-05,-55.10634930445909,0.0011297139592116,0.0,-0.0015601549601745,157.6970774852279,1.0,0.0,0.0007737584910492,1.0,-0.0016954660768134,0.0,-0.0054516060934628,0.0046746044588704,-0.0088226770275804,3.875891782840775e-11,2.836590473462367e-11,0.0325924485734151,0.0097500243334616,0.0020427976981785,0.0173902342619679,0.0239195360410473,0.0247871524568658,0.001863813033274,5.183147495714012e-07,-45.990203982488296
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS3#NEED_TO_ENLARGE=0&SIZE=65536---7,0.0,2.5311896648240322e-08,0.0116983558737418,-153.23068694148944,-0.000776367116495,-105.2864927342518,0.000671399952373,0.0,-0.0011991724496661,129.53557973006917,1.0,0.0,0.0007751566157368,1.0,-0.0018377026502979,0.0,0.0030991579590532,0.0039433882333249,0.0129741468178921,7.845712150553437e-11,3.5760268774594286e-11,0.0141560239791678,0.0183267698773403,0.0019159761378166,0.011162061532115,0.010673584884111,0.026728145210885,0.0015118011315181,2.7045807561102374e-07,-64.28259672492145
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS3#NEED_TO_ENLARGE=0&SIZE=65536---8,0.0,2.2984983153069946e-08,-0.0112033427604064,15.521644849066991,0.0010531688568445,-136.1926470959952,0.0015829214262684,0.0,0.0004277620764115,-105.97518117860672,1.0,0.0,0.0007756736100491,1.0,-0.0007618820561225,0.0,0.0073624179559391,0.002995299866441,-0.0153552962471719,4.496848036174389e-11,4.4033501922208705e-11,0.0193245050980602,0.0090548386105819,0.0021840659135991,0.0247115960117376,-0.0067891994670506,0.0222642899964814,0.0018965494719311,5.548372439570433e-07,-116.92719077107914
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS3#NEED_TO_ENLARGE=0&SIZE=65536---9,0.0,3.8244604799138246e-08,0.0080426039490922,-53.35346405167851,-0.000716100715918,-157.16449884543417,0.0008598203055387,0.0,-0.001303894373939,133.08527124723423,1.0,0.0,0.0007759185297296,1.0,-0.00193964507948,0.0,-0.0051004378747049,0.0037379432753596,0.0066807645131818,5.337384272601037e-11,2.538195800326645e-11,0.0168384950454184,0.008087159974174,0.0017921545683844,0.0155454141393614,0.0168118874533876,0.0180462659108275,0.0015789669538291,2.2688377744458337e-07,-40.51420170491542
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=0&SIZE=65536---0,0.0,7.528919047983999e-08,-0.0021627014923791,-45.02195955985616,8.352459744689646e-05,157.14129721218256,0.0018859096741868,0.0,-0.0022779427387827,116.12974757915694,1.0,0.0,0.0011519486441588,1.0,-0.002239757710336,0.0,-0.0171065954024328,0.0055136797219774,-0.0336096009458473,2.502937421273071e-12,8.951680658464778e-11,0.018171665660753,0.0155604223916113,0.0032710578062167,0.0639750808852098,0.0498990753762063,0.0307770120943682,0.0026245398299166,1.0871949545468965e-07,3.2488449008865885
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=0&SIZE=65536---1,0.0,6.81472447744167e-08,-0.0015077375469435,-117.03985952126446,-0.0011294124320845,150.5682901079745,0.0005194065010116,0.0,-0.00189744506888,69.43631267037335,1.0,0.0,0.0011024183877465,1.0,-0.0028517428143947,0.0,-0.010079309132423,0.0058424712780713,-0.0326272315234997,2.2135841692015224e-12,1.198419711729751e-10,0.0218809211280516,0.0043684490557837,0.0026696213513474,0.0306096899659751,0.0194215631332881,0.0404957391748649,0.0019629175709428,4.570324240211464e-07,-26.08000881047149
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=0&SIZE=65536---2,0.0,7.528919047983999e-08,-0.0021627014923791,-45.02195955985616,8.352459744689646e-05,157.14129721218256,0.0018859096741868,0.0,-0.0022779427387827,116.12974757915694,1.0,0.0,0.0011519486441588,1.0,-0.002239757710336,0.0,-0.0171065954024328,0.0055136797219774,-0.0336096009458473,2.502937421273071e-12,8.951680658464778e-11,0.018171665660753,0.0155604223916113,0.0032710578062167,0.0639750808852098,0.0498990753762063,0.0307770120943682,0.0026245398299166,1.0871949545468965e-07,3.2488449008865885
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=0&SIZE=65536---5,0.0,7.14365030331926e-08,0.0132585440418666,-101.11536633766124,-0.001123952366066,-104.61017459244717,0.0004598644157152,0.0,-0.0017790308190562,64.02873643599625,1.0,0.0,0.0011058105345991,1.0,-0.0028532398134382,0.0,0.0153062460653095,0.0056471314228501,-0.040205854099235,1.5593584740047429e-12,1.1195801782790439e-10,0.0263457449340901,0.0168942630984259,0.0026512975645713,0.0131640976719639,0.0103917444482716,0.0391722852580053,0.0019980797625622,7.413971391390441e-07,-33.73414702697819
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=0&SIZE=65536---6,0.0,8.04636319265831e-08,0.0146413756389685,-66.68587376263201,-0.0011401773308203,-107.75017073804702,0.0006335933594953,0.0,-0.0019692718290307,23.94268070677029,1.0,0.0,0.0011044407431084,1.0,-0.0030032542904654,0.0,-0.0094170507185465,0.0060923026669668,-0.0212376884230348,2.099224598944348e-12,1.0809470704886984e-10,0.0094160596021111,0.0062246855004909,0.0023599607114135,0.0408740813604169,0.0070163425903131,0.032164013175378,0.0017912275491711,-1.955102592073106e-07,-68.27715928559944
