id,"y__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8","y__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""","y__fft_coefficient__attr_""imag""__coeff_27","y__fft_coefficient__attr_""real""__coeff_50","y__fft_coefficient__attr_""abs""__coeff_14","y__fft_coefficient__attr_""angle""__coeff_21","y__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""abs""__coeff_54","y__fft_coefficient__attr_""imag""__coeff_62",y__time_reversal_asymmetry_statistic__lag_2,y__partial_autocorrelation__lag_9,"y__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","y__fft_coefficient__attr_""imag""__coeff_71","y__fft_coefficient__attr_""real""__coeff_41","y__fft_coefficient__attr_""abs""__coeff_53","y__fft_coefficient__attr_""angle""__coeff_81","y__agg_autocorrelation__f_agg_""mean""__maxlag_40",y__ar_coefficient__coeff_4__k_10,y__mean_second_derivative_central,"y__fft_coefficient__attr_""real""__coeff_79","y__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","y__fft_coefficient__attr_""angle""__coeff_74","y__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","y__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""imag""__coeff_22","y__fft_coefficient__attr_""abs""__coeff_28","y__fft_coefficient__attr_""real""__coeff_51","y__fft_coefficient__attr_""real""__coeff_82","y__fft_aggregated__aggtype_""variance""","y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var"""
001b49279bcee7d125a97b05270bfef90bd1e95312b78e2db639f0a531bd3543,126.15686274509804,-107053.67559987422,83365.64571683508,-9272.091099474856,261549.6102030978,-42.67949632150697,161.15605607534448,26594.309573068072,40162.760454824136,61433118.70478558,-0.2229059041729559,144648.18936833518,59875.90743967269,65938.92507445358,17683.068102536654,-105.69076799853482,0.3236519727192166,0.2899631869232119,-0.4391682184978274,14444.52690763479,-1.9382585477618453,152.94392478390412,48.72319072179245,1467.7095142607518,-158260.24926118235,161003.469820359,15278.110918792809,-39689.960116413386,69444.38910727299,787.096627381271
0090326fced7728419b589c8c6c2cad5b05d75553813b47938fae26ba0b2b393,56.80869565217391,6795.848882746891,42854.5759673342,-8831.015090933251,44124.37879894613,-94.21157320432708,-1126.544237319213,22030.732740890748,48366.733841262925,123253223.08452454,0.0880397965391344,11329.65119387162,21578.432360710893,-21933.256642131644,25912.803206502645,47.4314782217722,0.1336729735548501,0.0711396698876568,0.0142768466790813,61717.48304457922,0.5052137305468846,-34.98446434624533,23.806111365856708,-1845.4527708842104,-65132.47012700111,12267.792313479616,33858.68237499095,-13427.17448203868,50860.04060974093,343.08226213339753
02158978e403150c2befd8b4176c717c4230186b25f7de41a83e27a13f0dd4e4,-14.64179104477612,-44.27824049694669,-2736.864065241947,20636.34569794463,46876.58516325649,-42.77105261507381,-65.21818900659225,25859.60881714677,607.1225375113472,26929854.96022374,0.0054947557763379,22762.20359781909,4687.161087346105,-5148.903112847686,28942.75485484752,122.24746580328474,0.4651931043213836,0.0724724350616188,0.0490378646803227,14152.285951910717,-0.1236765305325452,78.59892498507476,23.03942209449881,3176.274530769304,-185433.216531415,40287.22425166216,-14894.56233933478,5097.84597608222,47175.95556421362,43.75516534860709
04605a37a22e05096e009845434d33bfd1c42cd67f6d72601d351e470614bf5f,-65.20779220779221,-51045.04789257193,71214.57293353074,-3115.7396310427644,162876.58623148844,-150.7022406111954,-3095.5090900945315,173691.01237761742,166653.37024058442,-73296786689.72964,0.0533438047794359,5148157.943699517,83451.58027316832,178665.5771975485,123225.2460591717,-146.8778624754751,0.3936912530405508,-0.0328941790603546,-0.7430167597765364,-51212.03311515668,-10.04589462193895,160.59889416349648,82.4280396278496,58764.83830797341,-12564.574410180328,709323.0880674905,-106625.65463173078,-160369.2244741245,34945.6822049199,4210.340285205434
05aed21c749138a712c901a4e7113230306b3b3e2ec055b73f6ba40e78b870ec,-2.27027027027027,-16239.305352038573,-63047.96318913709,-74375.1522344279,97878.05119412212,151.43469918066424,-54.67575555021042,91038.4516325077,-6504.258813458353,-24958480.94406464,0.0445817905297496,45699.59353746252,-58659.73308539245,108864.17160304374,109670.19880945251,-120.11273100783428,0.3193217539407073,-0.1492453034088277,0.1213531967721911,-19023.767848035568,0.406597245220658,-144.38836443131294,33.60440951678592,198.14884464160647,-52629.44895186354,77088.65847259834,101742.2314423186,-1508.5196886008598,37200.24237792885,426.7702635627203
063ba6f3c1d425f6f5c3bde3b9ba1eba7c6d81c57fd794860338638212d30dfb,-524.2054054054054,-1214155.1743231772,1333945.1051372124,556274.1319273505,1135093.8000137934,106.6199435950456,-9363.849319872006,615905.1622770146,422498.8617982164,3468259669349.4395,0.0568756239847501,32888511.14091888,-108488.9560523218,-864808.3834472938,398661.6377895199,137.7293995573913,0.2555033217128234,0.0185872437472258,1.3702669149596525,-522625.79137287673,-2.3071551664991765,118.75097025180251,289.4063554224118,79917.97953198462,45300.37506276078,585690.4306665576,-149394.73217606626,670820.9251626353,49186.45354449849,55020.45158238267
067db9e34208d72cb693c8c199dfb3fdd7a0d11e29bc6285aeb702ddea18ff7e,-37.91869918699187,9433.610362380949,-60021.05032623411,14934.906178779023,160385.73010406387,139.4910760251738,0.1662814060966981,36869.90061630522,8390.893214087217,68067272.57364823,-0.0335341572158026,290781.84252960444,22071.337896557743,17865.783680716977,30523.55974704361,63.87453755161633,0.3730313124620748,0.0124652119449404,-0.121973929236499,-64682.0393114287,1.9415411931362927,158.17226188505074,27.13219571640939,-243.1842247741383,358827.13394655567,81656.20445335336,-27827.77424851209,24218.66822307963,62190.25107399199,373.0766928135705
06b3bf665f5a7f680cb80e5a64f71e0da9a19047a80f494c706d4ea5aa27a134,-52.92198581560284,827381.8888420332,-77629.90346428382,-321562.56955119653,864397.1801748534,-171.817583889079,29.02351282417582,212865.64862916843,-75801.68032598405,15514459253.332504,0.0178549653892992,659499.3929530614,-45014.38892947367,2852.305091917955,168567.77650166192,-171.09908660633604,0.7197647067641375,0.0157751098737699,-0.0313469894475481,-67191.38693562635,31.724478526048944,140.9358064086957,137.0477516980811,4010.237009863065,310532.52469666174,290515.263159647,-36907.01663167713,27115.62478948362,49981.497497539945,3067.557440850913
076c1b2effca757264929b87ba491cfa9005a06bb7b81de4b33fd60eb0421788,-9.770676691729324,1335.33530061466,25332.6853392994,10789.783964792716,91613.3067092168,-39.18871914269725,114.42261016299172,29031.87129959889,-13265.600462496586,-11134053.420758234,-0.0182662740204351,15994.862191567609,8262.748141010066,20516.612626884824,18004.010896202948,144.3966746893487,0.5017810761747498,-0.0054564157364473,0.0021725636250775,13225.326996193828,0.5353377523566423,172.58548328675786,18.37357195683379,437.987344086081,-79057.81920717252,6631.585564482009,-10768.110688578352,-20040.859592083645,48150.41013924719,52.60248626603621
08f7ff6d9380a3c0442130789c39c3006b6648ba613a3cc9f34de200ae2ee057,0.0224719101123595,12360.875689317472,50119.144947706256,-21920.70153081949,85256.19262145547,-122.32376735263372,33.67313980764412,58785.55645781383,-20629.395648126207,-146944019.5083903,0.0691872076714352,90396.89703514412,-18172.05317513708,-49126.853412028126,40131.0908087386,-9.224320311167183,0.761902982726494,0.0741268047819644,-0.0661080074487895,23347.9130295749,-3.844842640844795,-58.973857064534506,17.119042009232192,5275.612259594845,33132.12648398679,47338.9570553483,15140.806627667702,11530.543748541984,43083.65444654157,201.5648563631916
