id,y__percentage_of_reoccurring_values_to_all_values,y__ratio_value_number_to_time_series_length,y__partial_autocorrelation__lag_3,y__ar_coefficient__coeff_9__k_10,y__percentage_of_reoccurring_datapoints_to_all_datapoints,y__longest_strike_above_mean,"y__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",y__partial_autocorrelation__lag_9,y__mean_second_derivative_central,y__range_count__max_1__min_-1,"y__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",y__sum_of_reoccurring_values,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","y__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",y__absolute_maximum,y__maximum,"y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",y__lempel_ziv_complexity__bins_100,"y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",y__lempel_ziv_complexity__bins_5,y__quantile__q_0.6,y__quantile__q_0.9,y__median,y__quantile__q_0.7,y__quantile__q_0.8,y__lempel_ziv_complexity__bins_10,y__ratio_beyond_r_sigma__r_1,"y__fft_coefficient__attr_""real""__coeff_0","y__fft_coefficient__attr_""abs""__coeff_0",y__mean
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#nbody---25,0.1921884686918785,0.8065,0.0446918019276452,0.0230992180762707,0.3485,12.0,0.0028709701075549,0.0240257767496046,1.7279779779779837e-06,2000.0,-6.532018186106163e-09,74.822463,3.3750403095281787e-06,0.1326619872341725,0.256891,0.256891,1.941821275005705e-09,0.42,0.2519098536585366,0.1575,0.241678,0.243035,0.2414155,0.242013,0.2424284,0.1985,0.175,483.13283,483.13283,0.241566415
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#nbody---27,0.1847560975609756,0.82,0.0215548453991482,0.0163955878430139,0.3315,17.0,0.0020754998441362,0.0164365074133989,3.235735735735707e-07,2000.0,-8.472443488466798e-09,73.027504,4.893222362749126e-06,0.1322662553922704,0.259724,0.259724,2.8778012895671603e-09,0.412,0.2515507731707317,0.1405,0.2414584,0.2430307,0.241139,0.24177,0.2422214,0.186,0.1245,482.960877,482.960877,0.2414804384999999
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#nbody---29,0.2269230769230769,0.78,0.0172275938864905,0.0214093457747558,0.397,11.0,0.0015249732852665,0.020544950693647,1.3263263263263191e-06,2000.0,-8.424576583428622e-10,85.414211,1.3882440038394016e-06,0.1322148791742952,0.250705,0.250705,6.829240023280811e-10,0.4465,0.2457645243902439,0.162,0.2415284,0.2428429,0.2412635,0.2418689,0.242282,0.2305,0.27,482.721845,482.721845,0.2413609225
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#nbody---8,0.2269230769230769,0.78,0.0172275938864905,0.0214093457747558,0.397,11.0,0.0015249732852665,0.020544950693647,1.3263263263263191e-06,2000.0,-8.424576583428622e-10,85.414211,1.3882440038394016e-06,0.1322148791742952,0.250705,0.250705,6.829240023280811e-10,0.4465,0.2457645243902439,0.162,0.2415284,0.2428429,0.2412635,0.2418689,0.242282,0.2305,0.27,482.721845,482.721845,0.2413609225
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#nbody---3,0.2233567326100829,0.7835,0.0087692295445337,0.0275230973413822,0.3915,12.0,0.0041369701144177,0.0273432900418004,1.0855855855855807e-06,2000.0,-1.103220462632892e-09,84.419637,1.449751195495261e-06,0.1351883441843555,0.251427,0.251427,7.120488985534016e-10,0.4435,0.2463587841463415,0.1615,0.2415414,0.2428742,0.2412294999999999,0.2419,0.2422542,0.224,0.2765,482.696256,482.696256,0.241348128
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#nbody---6,0.2128991859737007,0.7985,-0.0330643077402818,0.0025338000715398,0.3715,13.0,0.0015361318514173,0.0014973065254148,1.711711711711687e-07,2000.0,7.998578779367068e-11,82.065642,1.3293690659351617e-06,0.1333494335103834,0.253169,0.253169,7.692995126752853e-10,0.4395,0.2452011999999999,0.1565,0.2416637999999999,0.2429334,0.2413545,0.2420056,0.242385,0.2155,0.2595,482.87272999999993,482.87272999999993,0.241436365
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#nbody---7,0.1946683199008059,0.8065,-0.0177653130191423,-0.0136203761197339,0.3505,10.0,0.0015703554426548,-0.0128570320250739,1.4381881881881957e-06,2000.0,4.206708552528432e-10,75.766354,1.9722684519770586e-06,0.1320933390347551,0.253759,0.253759,1.663826351047884e-09,0.433,0.248277093902439,0.1645,0.2416484,0.2430402,0.2413624999999999,0.2419809,0.2424034,0.213,0.1765,483.100836,483.100836,0.241550418
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#richards---0,0.6879240162822252,0.3685,0.191143752896376,-0.1533955263695712,0.885,36.0,0.0053989513356895,-0.0689592055141087,2.598348348348342e-06,2000.0,-6.270886375789816e-10,240.387903,1.8970310879700658e-07,0.2628202508036844,0.485496,0.485496,3.7720949860495925e-10,0.287,0.4755664195121951,0.032,0.4741884,0.4744131,0.474131,0.4742463,0.474317,0.0325,0.095,948.302876,948.302876,0.474151438
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#richards---1,0.7107329842931938,0.382,0.1652960861023079,-0.1290995062492568,0.8895,52.0,0.0055250926415666,-0.0089989199358962,2.700450450450449e-06,2000.0,-7.115123148894695e-10,257.496364,2.1383229982044922e-07,0.2629023794306711,0.485624,0.485624,4.00151952995508e-10,0.291,0.4757273475609755,0.032,0.474256,0.474495,0.474195,0.474321,0.4743942,0.032,0.1125,948.421453,948.421453,0.4742107264999999
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#richards---10,0.6235011990407674,0.417,0.2200184649685862,-0.078479781254916,0.843,121.0,0.0055008739930835,0.0112602453247766,2.639889889889897e-06,2000.0,-6.235182763392285e-10,246.648278,1.899600713296761e-07,0.2632652100001525,0.485553,0.485553,3.7354006013225025e-10,0.2905,0.4758815073170731,0.0325,0.47439,0.474623,0.474327,0.4744473,0.474525,0.0445,0.127,948.680388,948.680388,0.474340194
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#richards---11,0.6788732394366197,0.355,0.2290080000739549,-0.1621863217493278,0.886,29.0,0.005256659212046,-0.0021228846408058,2.6991991991991896e-06,2000.0,-6.351232641703972e-10,228.53623600000003,1.828420684019942e-07,0.2625992279293958,0.485386,0.485386,3.6824266887625665e-10,0.275,0.4755969268292683,0.032,0.4741814,0.474384,0.474136,0.474231,0.474293,0.033,0.082,948.297275,948.297275,0.4741486374999999
