id,y__median,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__quantile__q_0.4,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",y__quantile__q_0.7,y__quantile__q_0.6,"y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",y__minimum,y__sum_values,y__quantile__q_0.8,"y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""","y__fft_coefficient__attr_""real""__coeff_0","y__fft_coefficient__attr_""abs""__coeff_0",y__mean,y__quantile__q_0.9,y__root_mean_square,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""","y__linear_trend__attr_""intercept""","y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","y__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",y__abs_energy,"y__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)"
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---0,0.421341,0.4213007,0.421277,0.421246,0.421321,0.421302503541147,0.42139,0.421365,0.421274653880597,0.421128,842.719024,0.4214232,0.4212270524390244,842.719024,842.719024,0.421359512,0.421493,0.4213595259921697,0.4213696677630922,0.4213696272686567,0.4213696959625187,0.421369536902439,0.421602618292683,0.4214442644264339,0.4214910452238806,0.3060929700529217,0.228569214369262,355.087700288692,0.6466852514433645,0.1529994197677664
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---15,0.421341,0.4213007,0.421277,0.421246,0.421321,0.421302503541147,0.42139,0.421365,0.421274653880597,0.421128,842.719024,0.4214232,0.4212270524390244,842.719024,842.719024,0.421359512,0.421493,0.4213595259921697,0.4213696677630922,0.4213696272686567,0.4213696959625187,0.421369536902439,0.421602618292683,0.4214442644264339,0.4214910452238806,0.3060929700529217,0.228569214369262,355.087700288692,0.6466852514433645,0.1529994197677664
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---24,0.421341,0.4213007,0.421277,0.421246,0.421321,0.421302503541147,0.42139,0.421365,0.421274653880597,0.421128,842.719024,0.4214232,0.4212270524390244,842.719024,842.719024,0.421359512,0.421493,0.4213595259921697,0.4213696677630922,0.4213696272686567,0.4213696959625187,0.421369536902439,0.421602618292683,0.4214442644264339,0.4214910452238806,0.3060929700529217,0.228569214369262,355.087700288692,0.6466852514433645,0.1529994197677664
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---26,0.421341,0.4213007,0.421277,0.421246,0.421321,0.421302503541147,0.42139,0.421365,0.421274653880597,0.421128,842.719024,0.4214232,0.4212270524390244,842.719024,842.719024,0.421359512,0.421493,0.4213595259921697,0.4213696677630922,0.4213696272686567,0.4213696959625187,0.421369536902439,0.421602618292683,0.4214442644264339,0.4214910452238806,0.3060929700529217,0.228569214369262,355.087700288692,0.6466852514433645,0.1529994197677664
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---1,0.421827,0.421737,0.421693,0.421613,0.4217816,0.4218244221695761,0.421915,0.421872,0.4217815155223881,0.4213,843.655713,0.421963,0.4216750768292683,843.655713,843.655713,0.4218278565,0.4220371,0.4218278890405297,0.4219622010673317,0.4219618835671642,0.4219624578050974,0.4219590157317073,0.4222834365853659,0.4220921337406483,0.4221504510447761,0.3062275608359637,0.2283708119647376,355.87753594477897,0.6471449412601316,0.1530145232582904
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---10,0.4217805,0.421709,0.42167,0.4216179,0.421749,0.421702544339152,0.4218733,0.42182,0.4216537604477611,0.421399,843.6090340000001,0.421937,0.4215745292682927,843.609034,843.609034,0.421804517,0.422023,0.4218045466807891,0.4218265174588529,0.4218264320895522,0.4218265622578711,0.4218258925121951,0.4222018487804878,0.4219705517206982,0.4220401731343283,0.3060056417400779,0.2283031044821386,355.838151201172,0.6466418532920488,0.152829695760238
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---11,0.421498,0.421344,0.421254,0.421122,0.421412,0.4207174444638403,0.4217173,0.421604,0.4206382573134328,0.420816,846.100602,0.421868,0.4207559804878048,846.100602,846.100602,0.423050301,0.4221042,0.4230963740805208,0.4209597923266833,0.4209647307164179,0.4209557336206896,0.4210061586585366,0.4217770707317073,0.421278795798005,0.4214044365671642,0.3066006583649522,0.2297378951680212,358.021083520168,0.6466719874379848,0.1533945181563558
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---14,0.421498,0.421344,0.421254,0.421122,0.421412,0.4207174444638403,0.4217173,0.421604,0.4206382573134328,0.420816,846.100602,0.421868,0.4207559804878048,846.100602,846.100602,0.423050301,0.4221042,0.4230963740805208,0.4209597923266833,0.4209647307164179,0.4209557336206896,0.4210061586585366,0.4217770707317073,0.421278795798005,0.4214044365671642,0.3066006583649522,0.2297378951680212,358.021083520168,0.6466719874379848,0.1533945181563558
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---12,0.421731,0.421634,0.4215778,0.4214999,0.421684,0.4214685074189525,0.421826,0.421775,0.4214137882089553,0.421253,843.463411,0.4218822,0.4213185573170731,843.463411,843.463411,0.4217317055,0.4219581,0.4217317412716471,0.4216077443740648,0.4216080316119402,0.4216074983808096,0.4216104390243903,0.4219478829268293,0.4217538822817955,0.4218086214925373,0.3060492849256723,0.2283694485263236,355.715323192031,0.6461109249517767,0.1525291648841552
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---29,0.421731,0.421634,0.4215778,0.4214999,0.421684,0.4214685074189525,0.421826,0.421775,0.4214137882089553,0.421253,843.463411,0.4218822,0.4213185573170731,843.463411,843.463411,0.4217317055,0.4219581,0.4217317412716471,0.4216077443740648,0.4216080316119402,0.4216074983808096,0.4216104390243903,0.4219478829268293,0.4217538822817955,0.4218086214925373,0.3060492849256723,0.2283694485263236,355.715323192031,0.6461109249517767,0.1525291648841552
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---13,0.421371,0.421307,0.421274,0.421234,0.421338,0.4214844278428928,0.4214323,0.421397,0.4214532249253732,0.421119,842.8065389999999,0.421491,0.4213870499999999,842.8065389999999,842.8065389999999,0.4214032694999999,0.421612,0.4214033036147741,0.4215754639750623,0.4215750384925373,0.4215758217241379,0.4215712295853658,0.4218435597560975,0.4216724107730673,0.4217185402985074,0.3063512013446913,0.2286410035133703,355.161488594891,0.6466900594731819,0.1528131863945799
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---16,0.421577,0.42149,0.421435,0.421372,0.42154,0.4215378261097257,0.4216793,0.421623,0.4214997846268656,0.421146,843.177424,0.4217412,0.4214259414634146,843.177424,843.177424,0.421588712,0.421819,0.4215887469200346,0.4216280361421445,0.4216278814626865,0.4216281209265367,0.4216270735853659,0.4219604,0.421731368990025,0.4217887565671641,0.3063098197791378,0.2282092070363589,355.47414305921,0.6466237949739554,0.1530709027053765
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---17,0.421901,0.42184,0.421808,0.421764,0.42187,0.4218062601122194,0.4219823,0.421937,0.4217650547761193,0.421523,843.854798,0.422045,0.4216780926829268,843.854798,843.854798,0.421927399,0.4221421,0.4219274250636654,0.4219099511720698,0.4219099485074626,0.4219099139790104,0.4219103697560976,0.4221801439024391,0.4220193141895261,0.422072624477612,0.3065220001061436,0.2287425969245911,356.04550404171005,0.6466773767705478,0.1527778264626159
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---18,0.4217,0.421612,0.4215488,0.4214619,0.421665,0.4217304644513716,0.421774,0.421737,0.4217054561194029,0.421328,843.391908,0.421822,0.4216499085365854,843.3919080000001,843.3919080000001,0.421695954,0.421905,0.4216959869332846,0.4218112385910225,0.4218109631343283,0.4218114667391304,0.4218088900243901,0.4220175134146342,0.4219008691396509,0.4219409280597015,0.3064439630143232,0.2284239895369732,355.655010791274,0.646526355648986,0.152811833096274
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---19,0.421664,0.421623,0.421597,0.421557,0.421642,0.4216535395012469,0.421714,0.421687,0.4216192774626865,0.421315,843.363959,0.421755,0.4215772926829269,843.363959,843.363959,0.4216819795,0.4218401,0.4216819975891863,0.4217332969501247,0.4217331712686567,0.4217334048770615,0.4217321478780488,0.4220534097560975,0.4218312699750623,0.4218871610447761,0.3062058223766004,0.2284321146290954,355.63141418161297,0.6467233393611651,0.1527702706690179
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---22,0.421664,0.421623,0.421597,0.421557,0.421642,0.4216535395012469,0.421714,0.421687,0.4216192774626865,0.421315,843.363959,0.421755,0.4215772926829269,843.363959,843.363959,0.4216819795,0.4218401,0.4216819975891863,0.4217332969501247,0.4217331712686567,0.4217334048770615,0.4217321478780488,0.4220534097560975,0.4218312699750623,0.4218871610447761,0.3062058223766004,0.2284321146290954,355.63141418161297,0.6467233393611651,0.1527702706690179
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---6,0.421664,0.421623,0.421597,0.421557,0.421642,0.4216535395012469,0.421714,0.421687,0.4216192774626865,0.421315,843.363959,0.421755,0.4215772926829269,843.363959,843.363959,0.4216819795,0.4218401,0.4216819975891863,0.4217332969501247,0.4217331712686567,0.4217334048770615,0.4217321478780488,0.4220534097560975,0.4218312699750623,0.4218871610447761,0.3062058223766004,0.2284321146290954,355.63141418161297,0.6467233393611651,0.1527702706690179
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---2,0.421368,0.421158,0.4210388,0.42094,0.421249,0.4211707955486284,0.421555,0.4214574,0.4210831201492538,0.420785,842.7611509999999,0.421684,0.4209629292682926,842.761151,842.761151,0.4213805754999999,0.4218331,0.4213807158061739,0.4214509400997507,0.4214508139999999,0.4214510796341829,0.4214493825121952,0.4221429012195122,0.4217225258229426,0.4218369820895523,0.3066706755883644,0.2291772550002671,355.123415306647,0.6462753264349542,0.1536692387827824
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---9,0.421368,0.421158,0.4210388,0.42094,0.421249,0.4211707955486284,0.421555,0.4214574,0.4210831201492538,0.420785,842.7611509999999,0.421684,0.4209629292682926,842.761151,842.761151,0.4213805754999999,0.4218331,0.4213807158061739,0.4214509400997507,0.4214508139999999,0.4214510796341829,0.4214493825121952,0.4221429012195122,0.4217225258229426,0.4218369820895523,0.3066706755883644,0.2291772550002671,355.123415306647,0.6462753264349542,0.1536692387827824
