id,SARIMA,RNN_RNN,RNN_LSTM,RNN_GRU,TimesFM,Chronos
0,7.561356905847788,8.221400499343872,9.81240163743496,8.070009648799896,7.9206664599478245,8.172730926424265
1,4.28587082773447,3.3721811547875404,4.476529415696859,3.9549927935004234,3.086865995079279,3.0936890244483948
10,7.3164446242153645,9.672487154603004,10.093455374240875,8.702217802405357,6.440775539726019,6.786092296242714
100,11.644932799041271,6.8114311546087265,6.886783890426159,7.138062871992588,8.899486228823662,8.74461418390274
101,9.601611770689487,5.829529881477356,5.662696488201618,5.499333895742893,5.297009438276291,4.694995619356632
102,4.288315374404192,4.272019758820534,4.347126726061106,4.090145047754049,5.027423821389675,4.436726000159979
103,5.219115950167179,8.005853563547134,10.998775139451027,8.993741035461426,5.778145279735327,4.677953265607357
104,13.672021880745888,62.66026175022125,62.36349260807037,62.35889220237732,13.929868370294571,13.466889292001724
105,6.52077180147171,7.296370930969715,5.653845399618149,5.850220136344433,7.326946459710598,6.9416685327887535
106,15.303595416247845,29.558546543121338,30.13008114695549,35.86790382862091,10.432889491319656,10.296017780900002
107,11.10120640695095,5.387665346264839,4.810484014451504,5.1311744675040245,7.221117585897446,7.392430059611797
108,4.372365567833185,4.576188907027245,4.190575245767832,4.182611703872681,4.7855344414711,4.487793557345867
109,5.396570917218924,8.416771963238716,10.584952116012573,8.960393249988556,6.338179416954517,4.917127303779125
11,14.642405971884727,31.434720933437347,30.788363844156265,31.26388716697693,12.741566084325314,11.493042394518852
110,15.43664126098156,63.58961272239685,62.3161495923996,62.4480197429657,16.55433163046837,15.321610301733017
111,6.7400142177939415,6.8439629673957825,7.095235712826252,6.821437105536461,7.322310693562031,7.300497144460678
112,16.562739111483097,19.547913640737534,32.025504976511,24.502790600061417,13.515773326158524,14.015592992305756
113,12.152569562196732,7.1170520931482315,6.2744965851306915,9.169996291399002,7.70267416536808,6.962084911763668
114,4.8138557486236095,4.699292801320553,5.311973348259926,4.6209652200341225,3.6187955886125565,3.1892504654824734
115,12.810059018433094,19.770856589078903,18.366086721420288,18.82054889202118,9.108664087951183,8.079144783318043
116,7.578660350292921,4.890467002987862,4.254202574491501,4.884417802095413,5.396247327327728,5.577155962586403
117,4.247734569013119,3.8857191279530525,4.093615427613258,3.731978826224804,3.721572894603014,4.312923554331064
118,12.11619321629405,9.143702380359173,8.59049179404974,8.179131984710693,7.774197105318308,7.978900663554668
119,9.554557502269745,9.178833246231079,6.909405700862408,8.495269045233727,7.664947405457497,6.989400655031204
12,2.3307894244790077,2.2559129372239113,2.359409909695387,2.4300031065940857,2.1684992983937263,2.1964805349707603
120,12.296664133667946,13.204212933778763,13.223647236824036,14.43773341178894,12.356548845767975,13.501960143446922
121,7.5880846455693245,8.966916233301163,7.708406031131744,8.029842987656593,7.140461482107639,6.838259145617485
122,12.341298013925552,11.107080057263374,10.94854161143303,10.94530040025711,12.014949813485146,11.150511860847473
123,5.133578546345234,6.644319847226143,6.315586127340794,6.489199474453926,5.43857004493475,5.480468228459358
124,10.94400905072689,11.38698947429657,11.737758174538612,11.99851194024086,11.130265265703201,10.329631716012955
125,9.443022519350052,12.853657945990562,10.340599283576012,11.313226446509361,9.134094819426537,10.181703373789787
126,6.587316632270813,7.358274906873703,11.767041027545929,8.168760180473328,7.762347996234894,6.4832392781972885
127,7.525406792759895,11.271063044667244,10.193023309111595,10.56129090487957,7.4653015807271,7.021500997245312
128,14.442540258169174,11.328734159469604,12.45054243505001,10.499847784638405,10.3011334836483,10.427162915468216
129,4.6416390016674995,7.300855055451393,9.587631851434708,8.931088700890541,3.915908172726631,4.594087764620781
13,3.4121355451643467,3.3164882361888885,3.7496779039502144,3.6140801832079887,3.4116886779665947,3.321611914783716
130,7.929861180484295,8.015266574919224,8.404736585915089,8.120910547673702,7.679130204021931,7.595614746212959
131,4.703342266380787,6.267867058515549,7.790826760232449,5.733622454106808,4.320929415524006,4.568304881453514
132,11.912278890609741,11.949872925877571,11.828650206327438,11.865722954273224,12.289119437336922,12.233510315418243
133,13.631317168474197,14.071504473686218,13.468838036060333,13.844872951507568,15.28723406791687,14.77874368429184
134,13.283318996429443,14.171248942613602,14.4423186480999,13.64395147562027,13.688055634498596,13.35598573088646
135,10.230475217103958,10.415421485900879,10.735980316996574,10.393877893686295,10.20668588578701,10.269668087363243
136,10.963098421692848,11.453515157103539,11.390920668840408,11.830506950616837,11.25587548315525,10.602337419986725
137,10.871499300003052,15.412401020526886,15.326912850141525,15.1159106194973,10.70296224951744,10.746855065226555
138,7.611476399004459,8.03260362148285,9.321671858429909,9.890483811497688,8.890107937157154,7.602995656430721
139,8.253933906555176,15.502104848623276,12.633912414312363,11.74329198896885,7.855553865432739,6.896769352257252
14,6.05092316865921,5.678489625453949,5.165424056351185,5.2092988938093185,5.077542692422867,4.299033038318157
140,18.099581390619278,15.137453153729439,15.943572491407394,13.938284754753113,12.09555196762085,13.814441099762917
141,5.151389703154564,6.993743807077408,6.598757117986679,8.43924680352211,5.112441748380661,5.402257643640041
142,11.681283429265022,11.817334622144699,12.69064125418663,11.564197733998299,11.859373763203621,11.401207059621811
143,4.7587200328707695,6.770318664610386,7.431840717792511,4.833322376012802,3.8561043813824654,3.928235299885273
144,18.821460232138634,19.327755391597748,17.828924268484116,18.7870242446661,14.917798049747944,16.50445120036602
145,6.87601700425148,5.324966877698898,5.604106858372688,6.081348530948162,5.711311399936676,5.824465245008469
146,4.468362867832184,3.446999218314886,3.329097982496023,3.153659198433161,3.8098738603293896,4.187792360782623
147,3.5560035556554794,11.476212114095688,12.56241089105606,13.385867655277252,2.9580347575247288,2.8978376425802708
148,23.604842573404312,21.729858428239822,20.526255697011948,19.157358169555664,15.492470145225525,16.137700274586678
149,7.978730399161577,4.401761617511511,4.85945675522089,3.2740284763276577,4.805190198123455,4.356530819088221
15,3.123597715049982,2.979015104472637,2.8778994791209698,2.896780464798212,3.3552782125771046,2.8026279509067535
150,4.639668915420771,4.448119014501572,5.850688375532627,4.6157767325639725,5.081001754850149,4.397509403526783
151,7.037693731486797,7.649202808737755,10.948145240545273,8.242870584130287,5.265108607709408,6.1264252960681915
152,13.876864418387413,30.445965886116028,30.404191493988037,30.41289222240448,11.90595854818821,11.78977432847023
153,4.109115179628134,3.900818333029747,3.9207327738404274,3.706903602927923,5.383194625377655,4.579927623271942
154,13.710662133991718,19.710293978452682,18.659759640693665,18.35036937892437,10.219552055001259,11.693143457174301
155,11.28846787661314,8.05697637796402,6.762183524668217,7.367794573307037,7.54168651252985,7.166124530136585
156,4.492802117019892,4.60544703155756,7.3562158197164536,4.439517021179199,5.107887681573629,4.260779228061438
