id,FCN,OSCNN,Rocket
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---0,0.9835526315789475,0.9903567984570877,0.9979583503470805
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---1,0.9701492537313433,0.9850586979722519,0.9961685823754789
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---2,0.9878419452887537,0.9891304347826086,0.9975247524752475
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---3,0.9766009852216749,0.9871729091841971,0.9975247524752475
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---4,0.9811320754716981,0.9864864864864865,0.9987995198079231
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---5,0.978494623655914,0.9864864864864865,0.9975247524752475
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---6,0.971314209472982,0.9835526315789475,0.9983831851253031
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---7,0.68,0.656,0.5562790697674419
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---8,0.9636767976278725,0.9871729091841971,0.9975247524752475
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3---9,0.9920893438808748,0.9931787175989085,0.9996076892899178
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---0,0.9069767441860465,0.9111389236545683,0.9909480705097665
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---1,0.8813559322033897,0.8813559322033897,0.9909480705097665
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---2,0.676,0.6355555555555557,0.5660759493670886
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---3,0.9607390300230947,0.9607390300230947,0.9920893438808748
