id,AR,EncDecAD,FCVAE,FITS,LSTMADalpha
10,0.0018148820326678765,0.00011079104808331487,0.00013480722566729578,0.0007127583749109052,0.00013271400132714
101,0.007692307692307693,0.006329113924050633,0.00273224043715847,0.01694915254237288,0.008620689655172414
102,0.011847919336897814,0.006609644171248017,0.005404752037598441,0.004216131857109913,0.011973742707798054
103,0.0013486594397071326,0.0018620888654929926,0.0009193590682570761,0.0012979026452033442,0.001554842954405933
104,0.2017298339938771,0.2869649258240483,0.2868801966892718,0.035479701593075744,0.28681928004192486
105,0.16943785198397188,0.25550240731390794,0.20665677307372857,0.16000446481900002,0.23667918842255609
106,0.35483765603955286,0.335896546501304,0.3765282350429723,0.3368027875351836,0.3372892228000704
107,0.02084258770287308,0.017063107583362117,0.004791568431784996,0.00652754529503637,0.07388703334505867
108,0.251587633935916,0.2503488027889074,0.25144784557506566,0.25276188941956623,0.2506806045742245
109,0.12872478552759972,0.13257513561179946,0.13854972774431723,0.018635310305671633,0.1326176420520523
110,0.4005774994042898,0.4005353344154503,0.40060689309478303,0.3348824845313424,0.40095020302546047
111,0.007582141183095683,0.004490863230307014,0.003340995828559165,0.007138952027877457,0.01867287901977599
112,0.024958434697390564,0.03380114725096608,0.004733154987374392,0.008759394154675554,0.035416239608520944
113,0.2749711895179499,0.29577911296390297,0.27727722281154965,0.2770078073302196,0.3540963885581669
116,0.00012061271257990592,0.0013333333333333333,0.010101010101010102,0.000725689404934688,0.007575757575757576
117,0.0001950458357714063,0.00037439161362785476,0.00013301409949454643,0.00033200531208499334,9.858044164037855e-05
118,0.0009550230370695616,0.0005828082210514683,0.0004702386563415698,0.0007179123750495427,0.000429603413400452
119,0.009615384615384616,0.0007727975270479134,0.004,0.0008375209380234506,0.0008628127696289905
12,0.9047619047619048,1.0,0.8655913978494623,0.8833333333333333,1.0
120,0.005714285714285714,0.125,0.5,0.00909090909090909,0.07692307692307693
121,0.0019305019305019305,0.1111111111111111,0.16666666666666666,0.2,0.5
122,0.33360576021823724,0.3348421775855797,0.07289488022455887,0.3337486989248227,0.3341996497064012
123,0.008695652173913044,1.0,1.0,0.5,1.0
124,0.5078125,0.75,1.0,0.7,0.8333333333333333
125,0.6335813440967131,0.6356346740789186,0.7155085647613919,0.22423341704747557,0.5895785400543819
128,0.0001486546751895347,9.294544102611767e-05,0.00909090909090909,0.000216076058772688,8.362602441879912e-05
13,0.7392857142857143,1.0,1.0,0.7142857142857142,1.0
131,0.5787037037037037,0.7321428571428572,0.95,0.5944940476190477,0.7321428571428572
