id,AR,EncDecAD,FCVAE,FITS,LSTMADalpha
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,0.5743157742384615,0.8852859253222555,0.8694748509901464,0.6357740536656892,0.8999077951573959
0efb375b-b902-3661-ab23-9a0bb799f4e3,0.43860463807272315,0.10127078428525357,0.3422902111035985,0.24612865759048777,0.31306006118697255
1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,0.7017617447377058,0.7240741384964309,0.8025711690140146,0.5823808424964954,0.8453458614568773
301c70d8-1630-35ac-8f96-bc1b6f4359ea,0.6565350087196355,0.3531314783714537,0.7191640616267319,0.21511624278336872,0.4495829569210441
42d6616d-c9c5-370a-a8ba-17ead74f3114,0.7956056937496806,0.881025597460424,0.811308614430764,0.7760947541922706,0.8826174873889222
43115f2a-baeb-3b01-96f7-4ea14188343c,0.48796039615545944,0.6032525039979463,0.8753891612712498,0.44701808606403715,0.5639304029196888
431a8542-c468-3988-a508-3afd06a218da,0.7872832998021104,0.928787818178334,0.8540610785455955,0.8078517516163185,0.9844636672357445
4d2af31a-9916-3d9f-8a8e-8a268a48c095,0.2485329946287893,0.4146362878170305,0.7088606005689387,0.2335551833116285,0.5152400562389464
54350a12-7a9d-3ca8-b81f-f886b9d156fd,0.30986451186334124,0.5364033468684631,0.7096825396825396,0.47497443978152076,0.5373559612690048
55f8b8b8-b659-38df-b3df-e4a5a8a54bc9,0.7495910146996437,0.5743659955037842,0.9118747694923022,0.6724774083309025,0.8428826859980049
57051487-3a40-3828-9084-a12f7f23ee38,0.911111111111111,0.536923076923077,0.6047619047619048,0.416969696969697,0.6602564102564104
6a757df4-95e5-3357-8406-165e2bd49360,0.35569609720688367,0.4294747663615395,0.39906753480456436,0.3757589778292005,0.4336218226564825
6d1114ae-be04-3c46-b5aa-be1a003a57cd,0.6885675623932593,0.7820986452117743,0.820606170356924,0.7337095644119331,0.8175685784140401
6efa3a07-4544-34a0-b921-a155bd1a05e8,0.05324872102743924,0.07748158920351028,0.11937546705795511,0.04970412642343806,0.07808446475633558
7103fa0f-cac4-314f-addc-866190247439,0.7223925514751597,0.8210228947297915,0.7063943619973014,0.7817476324596158,0.8256198850410676
847e8ecc-f8d2-3a93-9107-f367a0aab37d,0.719558266472322,0.8728357499159877,0.8394695653491482,0.6591138890308909,0.903656056876265
8723f0fb-eaef-32e6-b372-6034c9c04b80,0.70513834715335,0.7502119399716237,0.7800433489658488,0.6904920880666793,0.7707489086547872
9c639a46-34c8-39bc-aaf0-9144b37adfc8,0.344425930965087,0.42057252067833645,0.7157938526259024,0.3062540162853811,0.3383429420776521
a07ac296-de40-3a7c-8df3-91f642cc14d0,0.5551181911352367,0.6436673031668134,0.7785092554053316,0.6103085094528004,0.7516471885730766
a8c06b47-cc41-3738-9110-12df0ee4c721,0.7078655816655106,0.688750811656432,0.5969639077065027,0.7041134972507521,0.6953818725557857
ab216663-dcc2-3a24-b1ee-2c3e550e06c9,0.7104955399346548,0.2972327810370633,0.15812998735946,0.08685547949716588,0.38956356470153286
adb2fde9-8589-3f5b-a410-5fe14386c7af,0.7579005822660494,0.930010643899762,0.8986174964243511,0.7337308422946313,0.9267272862078147
ba5f3328-9f3f-3ff5-a683-84437d16d554,0.6880601640908257,0.7902193704324906,0.8478488087781499,0.6040278316588577,0.7826842522195929
c02607e8-7399-3dde-9d28-8a8da5e5d251,0.9266666666666665,0.8222222222222222,0.9428571428571428,0.5605433646812956,1.0
c69a50cf-ee03-3bd7-831e-407d36c7ee91,0.5415870841009046,0.6801941137265894,0.8178805595790641,0.5744517606109832,0.8638333120197587
da10a69f-d836-3baa-ad40-3e548ecf1fbd,0.48531569936366686,0.5238789956378578,0.28382468827942664,0.41886959810101426,0.5306881079748066
e0747cad-8dc8-38a9-a9ab-855b61f5551d,0.6910280625806942,0.34015042318818667,0.7562372188139059,0.1165917882889562,0.6281490414382903
f0932edd-6400-3e63-9559-0a9860a1baa9,0.34129672207771405,0.5192246026000451,0.5333142756493542,0.13304615199262673,0.4436075704453874
ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa,0.229509789482584,0.46278268421716706,0.26608229583559884,0.2285889256914192,0.3834247210123538
